RecordedDate,Experiment,Frage,Rep_Zu,Sicherheit,value,response,ID
2022-11-02T18:18:41Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,xcWSYRWudT
2022-11-02T18:18:41Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,xcWSYRWudT
2022-11-02T18:22:47Z,E1,F1,R,S,Option 1 : Ein Meet and Greet mit Ihrem Idol,Option1,bzL5JFWZrf
2022-11-02T18:22:47Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,bzL5JFWZrf
2022-11-02T18:22:47Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,bzL5JFWZrf
2022-11-02T18:22:47Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,bzL5JFWZrf
2022-11-02T18:26:23Z,E1,F1,R,S,Option 2: 500 CHF,Geld,td5NxWr9QA
2022-11-02T18:26:23Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,td5NxWr9QA
2022-11-02T18:26:23Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,td5NxWr9QA
2022-11-02T18:26:23Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,td5NxWr9QA
2022-11-02T18:28:26Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,qVSBmM4pnr
2022-11-02T18:28:26Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,qVSBmM4pnr
2022-11-02T18:30:55Z,E1,F1,R,S,Option 2: 500 CHF,Geld,kOha11kVWw
2022-11-02T18:30:55Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,kOha11kVWw
2022-11-02T18:30:55Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,kOha11kVWw
2022-11-02T18:30:55Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,kOha11kVWw
2022-11-02T18:31:45Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,tvOe8sl9EH
2022-11-02T18:31:45Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,tvOe8sl9EH
2022-11-02T18:44:53Z,E1,F1,R,S,Option 2: 500 CHF,Geld,lD0oZ3ZwMm
2022-11-02T18:44:53Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,lD0oZ3ZwMm
2022-11-02T18:44:53Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,lD0oZ3ZwMm
2022-11-02T18:44:53Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,lD0oZ3ZwMm
2022-11-02T18:53:39Z,E1,F1,R,S,Option 2: 500 CHF,Geld,ZiLi3jXkhi
2022-11-02T18:53:39Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,ZiLi3jXkhi
2022-11-02T18:53:39Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,ZiLi3jXkhi
2022-11-02T18:53:39Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,ZiLi3jXkhi
2022-11-02T18:58:41Z,E1,F1,R,S,Option 2: 500 CHF,Geld,HZ4qjuFj0q
2022-11-02T18:58:41Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,HZ4qjuFj0q
2022-11-02T18:58:41Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,HZ4qjuFj0q
2022-11-02T18:58:41Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,HZ4qjuFj0q
2022-11-02T19:07:47Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,ZAKA4EnViT
2022-11-02T19:07:47Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,ZAKA4EnViT
2022-11-02T19:07:53Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,dtAf7VWyPr
2022-11-02T19:07:53Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,dtAf7VWyPr
2022-11-02T19:08:45Z,E1,F1,R,S,Option 1 : Ein Meet and Greet mit Ihrem Idol,Option1,1uLsmlvIFM
2022-11-02T19:08:45Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,1uLsmlvIFM
2022-11-02T19:08:45Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,1uLsmlvIFM
2022-11-02T19:08:45Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,1uLsmlvIFM
2022-11-02T19:16:06Z,E1,F2,R,U,Option 1: Eine Chance von 1% auf ein Meet and Greet mit Ihrem Idol,Option1,wUx387GJXQ
2022-11-02T19:16:06Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,wUx387GJXQ
2022-11-02T19:25:12Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,Yxb7YFIHwR
2022-11-02T19:25:12Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,Yxb7YFIHwR
2022-11-02T19:33:20Z,E1,F1,R,S,Option 2: 500 CHF,Geld,yHAoRNGrkU
2022-11-02T19:33:20Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,yHAoRNGrkU
2022-11-02T19:33:20Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,yHAoRNGrkU
2022-11-02T19:33:20Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,yHAoRNGrkU
2022-11-02T19:52:44Z,E1,F1,R,S,Option 2: 500 CHF,Geld,q4K0Iyn6Yp
2022-11-02T19:52:44Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,q4K0Iyn6Yp
2022-11-02T19:52:44Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,q4K0Iyn6Yp
2022-11-02T19:52:44Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,q4K0Iyn6Yp
2022-11-02T20:13:43Z,E1,F1,R,S,Option 1 : Ein Meet and Greet mit Ihrem Idol,Option1,o2Rbl8zBeN
2022-11-02T20:13:43Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,o2Rbl8zBeN
2022-11-02T20:13:43Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,o2Rbl8zBeN
2022-11-02T20:13:43Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,o2Rbl8zBeN
2022-11-02T21:04:15Z,E1,F1,R,S,Option 2: 500 CHF,Geld,4m2vq9cyfN
2022-11-02T21:04:15Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,4m2vq9cyfN
2022-11-02T21:04:15Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,4m2vq9cyfN
2022-11-02T21:04:15Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,4m2vq9cyfN
2022-11-02T21:27:46Z,E1,F1,R,S,Option 2: 500 CHF,Geld,nQH1FCyQbo
2022-11-02T21:27:46Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,nQH1FCyQbo
2022-11-02T21:27:46Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,nQH1FCyQbo
2022-11-02T21:27:46Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,nQH1FCyQbo
2022-11-02T21:55:31Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,2QvsBzAajF
2022-11-02T21:55:31Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,2QvsBzAajF
2022-11-02T22:14:07Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,89DgF2SwLj
2022-11-02T22:14:07Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,89DgF2SwLj
2022-11-02T22:27:04Z,E1,F1,R,S,Option 2: 500 CHF,Geld,WgL0oeaiS9
2022-11-02T22:27:04Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,WgL0oeaiS9
2022-11-02T22:27:04Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,WgL0oeaiS9
2022-11-02T22:27:04Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,WgL0oeaiS9
2022-11-02T22:31:10Z,E1,F1,R,S,Option 2: 500 CHF,Geld,oeugr1r0F9
2022-11-02T22:31:10Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,oeugr1r0F9
2022-11-02T22:31:10Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,oeugr1r0F9
2022-11-02T22:31:10Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,oeugr1r0F9
2022-11-02T23:06:45Z,E1,F2,R,U,Option 1: Eine Chance von 1% auf ein Meet and Greet mit Ihrem Idol,Option1,LzsRryYSie
2022-11-02T23:06:45Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,LzsRryYSie
2022-11-02T23:48:37Z,E1,F1,R,S,Option 2: 500 CHF,Geld,wgj8jUc4qX
2022-11-02T23:48:37Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,wgj8jUc4qX
2022-11-02T23:48:37Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,wgj8jUc4qX
2022-11-02T23:48:37Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,wgj8jUc4qX
2022-11-03T06:57:41Z,E1,F2,R,U,Option 1: Eine Chance von 1% auf ein Meet and Greet mit Ihrem Idol,Option1,SpSXt1S2js
2022-11-03T06:57:41Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,SpSXt1S2js
2022-11-03T07:05:08Z,E1,F1,R,S,Option 2: 500 CHF,Geld,UCBi1HUZbw
2022-11-03T07:05:08Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,UCBi1HUZbw
2022-11-03T07:05:08Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,UCBi1HUZbw
2022-11-03T07:05:08Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,UCBi1HUZbw
2022-11-03T07:25:03Z,E1,F1,R,S,Option 2: 500 CHF,Geld,UfPGTKnVnc
2022-11-03T07:25:03Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,UfPGTKnVnc
2022-11-03T07:25:03Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,UfPGTKnVnc
2022-11-03T07:25:03Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,UfPGTKnVnc
2022-11-03T08:13:11Z,E1,F2,R,U,Option 1: Eine Chance von 1% auf ein Meet and Greet mit Ihrem Idol,Option1,4Q8ELCJYaB
2022-11-03T08:13:11Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,4Q8ELCJYaB
2022-11-03T08:49:25Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,Y0DcdFqY5y
2022-11-03T08:49:25Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,Y0DcdFqY5y
2022-11-03T09:00:22Z,E1,F1,R,S,Option 2: 500 CHF,Geld,oSsZzcvbUM
2022-11-03T09:00:22Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,oSsZzcvbUM
2022-11-03T09:00:22Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,oSsZzcvbUM
2022-11-03T09:00:22Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,oSsZzcvbUM
2022-11-03T09:01:35Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,XwawKbVXFK
2022-11-03T09:01:35Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,XwawKbVXFK
2022-11-03T09:10:25Z,E1,F1,R,S,Option 2: 500 CHF,Geld,nGhAXvybJe
2022-11-03T09:10:25Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,nGhAXvybJe
2022-11-03T09:10:25Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,nGhAXvybJe
2022-11-03T09:10:25Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,nGhAXvybJe
2022-11-03T09:17:22Z,E1,F1,R,S,Option 2: 500 CHF,Geld,UJdmp4AYO1
2022-11-03T09:17:22Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,UJdmp4AYO1
2022-11-03T09:17:22Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,UJdmp4AYO1
2022-11-03T09:17:22Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,UJdmp4AYO1
2022-11-03T09:18:27Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,3RzeJw2vCK
2022-11-03T09:18:27Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,3RzeJw2vCK
2022-11-03T09:19:07Z,E1,F1,R,S,Option 2: 500 CHF,Geld,qceo2phOnD
2022-11-03T09:19:07Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,qceo2phOnD
2022-11-03T09:19:07Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,qceo2phOnD
2022-11-03T09:19:07Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,qceo2phOnD
2022-11-03T09:31:32Z,E1,F1,R,S,Option 2: 500 CHF,Geld,k2BCf34gKs
2022-11-03T09:31:32Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,k2BCf34gKs
2022-11-03T09:31:32Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,k2BCf34gKs
2022-11-03T09:31:32Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,k2BCf34gKs
2022-11-03T09:35:03Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,5gRfISa6Sp
2022-11-03T09:35:03Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,5gRfISa6Sp
2022-11-03T09:40:05Z,E1,F1,R,S,Option 2: 500 CHF,Geld,rJPvaTLPyj
2022-11-03T09:40:05Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,rJPvaTLPyj
2022-11-03T09:40:05Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,rJPvaTLPyj
2022-11-03T09:40:05Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,rJPvaTLPyj
2022-11-03T09:40:07Z,E1,F1,R,S,Option 2: 500 CHF,Geld,bWE7Cchf5i
2022-11-03T09:40:07Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,bWE7Cchf5i
2022-11-03T09:40:07Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,bWE7Cchf5i
2022-11-03T09:40:07Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,bWE7Cchf5i
2022-11-03T09:42:42Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,xSjMpAaf4S
2022-11-03T09:42:42Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,xSjMpAaf4S
2022-11-03T09:52:03Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,1eCJcvmz9K
2022-11-03T09:52:03Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,1eCJcvmz9K
2022-11-03T10:13:51Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,P3e6OGbC53
2022-11-03T10:13:51Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,P3e6OGbC53
2022-11-03T10:46:11Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,Ey065YbHNg
2022-11-03T10:46:11Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,Ey065YbHNg
2022-11-03T10:52:17Z,E1,F1,R,S,Option 2: 500 CHF,Geld,pHCrrSNrXA
2022-11-03T10:52:17Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,pHCrrSNrXA
2022-11-03T10:52:17Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,pHCrrSNrXA
2022-11-03T10:52:17Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,pHCrrSNrXA
2022-11-03T11:02:14Z,E1,F1,R,S,Option 2: 500 CHF,Geld,LrEm4V0WR9
2022-11-03T11:02:14Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,LrEm4V0WR9
2022-11-03T11:02:14Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,LrEm4V0WR9
2022-11-03T11:02:14Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,LrEm4V0WR9
2022-11-03T11:17:26Z,E1,F2,R,U,Option 1: Eine Chance von 1% auf ein Meet and Greet mit Ihrem Idol,Option1,kRJhloj6im
2022-11-03T11:17:26Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,kRJhloj6im
2022-11-03T11:54:14Z,E1,F1,R,S,Option 2: 500 CHF,Geld,WHApWLCvk2
2022-11-03T11:54:14Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,WHApWLCvk2
2022-11-03T11:54:14Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,WHApWLCvk2
2022-11-03T11:54:14Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,WHApWLCvk2
2022-11-03T12:40:46Z,E1,F2,R,U,Option 1: Eine Chance von 1% auf ein Meet and Greet mit Ihrem Idol,Option1,QrjpSHGw84
2022-11-03T12:40:46Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,QrjpSHGw84
2022-11-03T13:46:36Z,E1,F1,R,S,Option 2: 500 CHF,Geld,N3IyWnhpkU
2022-11-03T13:46:36Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,N3IyWnhpkU
2022-11-03T13:46:36Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,N3IyWnhpkU
2022-11-03T13:46:36Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,N3IyWnhpkU
2022-11-03T15:37:15Z,E1,F2,R,U,Option 1: Eine Chance von 1% auf ein Meet and Greet mit Ihrem Idol,Option1,YyLoppZdTn
2022-11-03T15:37:15Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,YyLoppZdTn
2022-11-03T16:52:42Z,E1,F1,R,S,Option 2: 500 CHF,Geld,eSDc34Uwju
2022-11-03T16:52:42Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,eSDc34Uwju
2022-11-03T16:52:42Z,E1,F3,Z,S,Option 1: Sie können einen Ihrer liebsten Momente wieder erleben,Option1,eSDc34Uwju
2022-11-03T16:52:42Z,E2,F10,Z,S,Option 1: Ausverkauftes Konzert ihres Lieblingsmusikers,Option1,eSDc34Uwju
2022-11-03T18:33:49Z,E1,F2,R,U,Option 2: Eine Chance von 1% auf 500 CHF,Geld,ggd95HdyCO
2022-11-03T18:33:49Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,ggd95HdyCO
2022-11-03T19:41:18Z,E1,F2,R,U,Option 1: Eine Chance von 1% auf ein Meet and Greet mit Ihrem Idol,Option1,2G31W1U23y
2022-11-03T19:41:18Z,E1,F4,Z,U,Option 1: Sie können mit einer Chance von 1% einen Ihren liebsten Momente wieder erleben,Option1,2G31W1U23y
2022-11-03T22:01:55Z,E1,F1,R,S,Option 1 : Ein Meet and Greet mit Ihrem Idol,Option1,VO40xbM54M
2022-11-03T22:01:55Z,E2,F5,R,S,Option 2: Coupon für Semestergebühren von 500 CHF,Geld,VO40xbM54M
2022-11-03T22:01:55Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,VO40xbM54M
2022-11-03T22:01:55Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,VO40xbM54M
2022-11-03T22:40:21Z,E1,F2,R,U,Option 1: Eine Chance von 1% auf ein Meet and Greet mit Ihrem Idol,Option1,HH7sS77WkC
2022-11-03T22:40:21Z,E1,F4,Z,U,Option 2: Sie erhalten mit einer Chance von 1% einen Geldbetrag von 10'000 CHF,Geld,HH7sS77WkC
2022-11-04T06:42:12Z,E1,F1,R,S,Option 2: 500 CHF,Geld,2wu9xO26X2
2022-11-04T06:42:12Z,E2,F5,R,S,Option 1: Coupon für USA-Reise von 500 CHF,Option1,2wu9xO26X2
2022-11-04T06:42:12Z,E1,F3,Z,S,Option 2: Sie erhalten einen Geldbetrag von 10'000 CHF,Geld,2wu9xO26X2
2022-11-04T06:42:12Z,E2,F10,Z,S,Option 2: Ihre Steuern werden von jemanden übernommen,Geld,2wu9xO26X2
2022-11-04T06:56:08Z,E1,F1,R,S,Option 1 : Ein Meet and Greet mit Ihrem Idol,Option1,hJJ5PNbkKl
