ID,condition,scale,set,item,response,value
2VCDEXqNra,DZ,nfc,NA,NfC_9,überhaupt nicht zutreffend,5
2v0hUzJ0La,FA,mancheck,NA,MC_0_1,Leicht,2
2v0hUzJ0La,FA,mancheck,NA,MC_0_2,Mittel / Weder schwierig noch leicht,3
2v0hUzJ0La,FA,mancheck,NA,MC_1,Ja,1
2v0hUzJ0La,FA,memory,FB2,FB2_1,60 cm,0
2v0hUzJ0La,FA,memory,FB2,FB2_2,Blüten und Pollen,1
2v0hUzJ0La,FA,memory,FB2,FB2_3,Schuppen,0
2v0hUzJ0La,FA,memory,FB2,FB2_4,Braun,0
2v0hUzJ0La,FA,memory,FB2,FB2_5,Ein Horn,1
2v0hUzJ0La,FA,memory,FB2,FB2_6,In Gruppen,1
2v0hUzJ0La,FA,memory,FB2,FB2_7,-,0
2v0hUzJ0La,FA,mindset,NA,GMS_1,Stimme grösstenteils nicht zu,3
2v0hUzJ0La,FA,mindset,NA,GMS_2,Stimme nicht zu,2
2v0hUzJ0La,FA,mindset,NA,GMS_3,Stimme grösstenteils nicht zu,3
2v0hUzJ0La,FA,nfc,NA,NfC_1,eher nicht zutreffend,2
2v0hUzJ0La,FA,nfc,NA,NfC_10,eher zutreffend,4
2v0hUzJ0La,FA,nfc,NA,NfC_11,eher zutreffend,4
2v0hUzJ0La,FA,nfc,NA,NfC_12,überhaupt nicht zutreffend,5
2v0hUzJ0La,FA,nfc,NA,NfC_13,weder noch,3
2v0hUzJ0La,FA,nfc,NA,NfC_14,weder noch,3
2v0hUzJ0La,FA,nfc,NA,NfC_15,eher zutreffend,4
2v0hUzJ0La,FA,nfc,NA,NfC_16,eher zutreffend,2
2v0hUzJ0La,FA,nfc,NA,NfC_17,eher zutreffend,4
2v0hUzJ0La,FA,nfc,NA,NfC_2,eher zutreffend,4
2v0hUzJ0La,FA,nfc,NA,NfC_3,eher zutreffend,2
2v0hUzJ0La,FA,nfc,NA,NfC_4,eher nicht zutreffend,4
2v0hUzJ0La,FA,nfc,NA,NfC_5,weder noch,3
2v0hUzJ0La,FA,nfc,NA,NfC_6,eher zutreffend,4
2v0hUzJ0La,FA,nfc,NA,NfC_7,weder noch,3
2v0hUzJ0La,FA,nfc,NA,NfC_8,eher nicht zutreffend,4
2v0hUzJ0La,FA,nfc,NA,NfC_9,eher nicht zutreffend,4
3RaWuKBJsy,DZ,mancheck,NA,MC_0_1,Leicht,2
3RaWuKBJsy,DZ,mancheck,NA,MC_0_2,Schwierig,4
3RaWuKBJsy,DZ,mancheck,NA,MC_1,Ja,1
3RaWuKBJsy,DZ,memory,FB3,FB3_1,60 cm,1
3RaWuKBJsy,DZ,memory,FB3,FB3_2,Honig,0
3RaWuKBJsy,DZ,memory,FB3,FB3_3,glatte Haut,1
3RaWuKBJsy,DZ,memory,FB3,FB3_4,braun,1
3RaWuKBJsy,DZ,memory,FB3,FB3_6,Zacken,0
3RaWuKBJsy,DZ,memory,FB3,FB3_7,Ins Schilf,0
3RaWuKBJsy,DZ,memory,FB3,FB3_8,Trommelartige Laute,1
3RaWuKBJsy,DZ,mindset,NA,GMS_1,Stimme zu,5
3RaWuKBJsy,DZ,mindset,NA,GMS_2,Stimme zu,5
3RaWuKBJsy,DZ,mindset,NA,GMS_3,Stimme grösstenteils nicht zu,3
3RaWuKBJsy,DZ,nfc,NA,NfC_1,eher nicht zutreffend,2
3RaWuKBJsy,DZ,nfc,NA,NfC_10,weder noch,3
3RaWuKBJsy,DZ,nfc,NA,NfC_11,weder noch,3
3RaWuKBJsy,DZ,nfc,NA,NfC_12,weder noch,3
3RaWuKBJsy,DZ,nfc,NA,NfC_13,eher nicht zutreffend,2
3RaWuKBJsy,DZ,nfc,NA,NfC_14,eher zutreffend,4
3RaWuKBJsy,DZ,nfc,NA,NfC_15,weder noch,3
3RaWuKBJsy,DZ,nfc,NA,NfC_16,eher zutreffend,2
3RaWuKBJsy,DZ,nfc,NA,NfC_17,eher zutreffend,4
3RaWuKBJsy,DZ,nfc,NA,NfC_2,eher nicht zutreffend,2
3RaWuKBJsy,DZ,nfc,NA,NfC_3,eher zutreffend,2
3RaWuKBJsy,DZ,nfc,NA,NfC_4,eher nicht zutreffend,4
3RaWuKBJsy,DZ,nfc,NA,NfC_5,eher nicht zutreffend,4
3RaWuKBJsy,DZ,nfc,NA,NfC_6,weder noch,3
3RaWuKBJsy,DZ,nfc,NA,NfC_7,überhaupt nicht zutreffend,5
3RaWuKBJsy,DZ,nfc,NA,NfC_8,weder noch,3
3RaWuKBJsy,DZ,nfc,NA,NfC_9,weder noch,3
3dFgyH4FVa,FA,mancheck,NA,MC_0_1,Mittel / Weder schwierig noch leicht,3
3dFgyH4FVa,FA,mancheck,NA,MC_0_2,Schwierig,4
3dFgyH4FVa,FA,mancheck,NA,MC_1,Ja,1
3dFgyH4FVa,FA,memory,FB2,FB2_1,3m,1
3dFgyH4FVa,FA,memory,FB2,FB2_2,Pollen und Blütenblätter,1
3dFgyH4FVa,FA,memory,FB2,FB2_3,Schuppen,0
3dFgyH4FVa,FA,memory,FB2,FB2_4,blau,1
3dFgyH4FVa,FA,memory,FB2,FB2_5,Ein gelbes Horn,1
3dFgyH4FVa,FA,memory,FB2,FB2_6,in Gruppen,1
3dFgyH4FVa,FA,memory,FB2,FB2_7,Nahrung sammeln,1
3dFgyH4FVa,FA,mindset,NA,GMS_1,Stimme grösstenteils nicht zu,3
3dFgyH4FVa,FA,mindset,NA,GMS_2,Stimme grösstenteils nicht zu,3
3dFgyH4FVa,FA,mindset,NA,GMS_3,Stimme grösstenteils nicht zu,3
3dFgyH4FVa,FA,nfc,NA,NfC_1,eher nicht zutreffend,2
3dFgyH4FVa,FA,nfc,NA,NfC_10,eher zutreffend,4
3dFgyH4FVa,FA,nfc,NA,NfC_11,eher zutreffend,4
3dFgyH4FVa,FA,nfc,NA,NfC_12,eher nicht zutreffend,4
3dFgyH4FVa,FA,nfc,NA,NfC_13,eher zutreffend,4
3dFgyH4FVa,FA,nfc,NA,NfC_14,weder noch,3
3dFgyH4FVa,FA,nfc,NA,NfC_15,eher nicht zutreffend,2
3dFgyH4FVa,FA,nfc,NA,NfC_16,eher nicht zutreffend,4
3dFgyH4FVa,FA,nfc,NA,NfC_17,weder noch,3
3dFgyH4FVa,FA,nfc,NA,NfC_2,weder noch,3
3dFgyH4FVa,FA,nfc,NA,NfC_3,eher nicht zutreffend,4
3dFgyH4FVa,FA,nfc,NA,NfC_4,eher nicht zutreffend,4
3dFgyH4FVa,FA,nfc,NA,NfC_5,eher zutreffend,2
3dFgyH4FVa,FA,nfc,NA,NfC_6,weder noch,3
3dFgyH4FVa,FA,nfc,NA,NfC_7,eher nicht zutreffend,4
3dFgyH4FVa,FA,nfc,NA,NfC_8,weder noch,3
3dFgyH4FVa,FA,nfc,NA,NfC_9,eher nicht zutreffend,4
44jJepjgoX,FA,mancheck,NA,MC_0_1,Leicht,2
44jJepjgoX,FA,mancheck,NA,MC_0_2,Mittel / Weder schwierig noch leicht,3
44jJepjgoX,FA,mancheck,NA,MC_1,Nein,0
44jJepjgoX,FA,memory,FB1,FB1_1,1.5m,1
44jJepjgoX,FA,memory,FB1,FB1_2,von grünem Blattgemüse,1
44jJepjgoX,FA,memory,FB1,FB1_3,schuppig,1
44jJepjgoX,FA,memory,FB1,FB1_4,schwarz,1
44jJepjgoX,FA,memory,FB1,FB1_5,buschig,1
44jJepjgoX,FA,memory,FB1,FB1_6,durch zwitschern,1
44jJepjgoX,FA,memory,FB1,FB1_7,umherstreifen,1
44jJepjgoX,FA,mindset,NA,GMS_1,Stimme nicht zu,2
44jJepjgoX,FA,mindset,NA,GMS_2,Stimme nicht zu,2
44jJepjgoX,FA,mindset,NA,GMS_3,Stimme nicht zu,2
44jJepjgoX,FA,nfc,NA,NfC_1,eher zutreffend,4
44jJepjgoX,FA,nfc,NA,NfC_10,eher zutreffend,4
44jJepjgoX,FA,nfc,NA,NfC_11,eher zutreffend,4
44jJepjgoX,FA,nfc,NA,NfC_12,eher nicht zutreffend,4
44jJepjgoX,FA,nfc,NA,NfC_13,eher zutreffend,4
44jJepjgoX,FA,nfc,NA,NfC_14,eher zutreffend,4
44jJepjgoX,FA,nfc,NA,NfC_15,eher nicht zutreffend,2
44jJepjgoX,FA,nfc,NA,NfC_16,weder noch,3
44jJepjgoX,FA,nfc,NA,NfC_17,eher nicht zutreffend,2
44jJepjgoX,FA,nfc,NA,NfC_2,eher zutreffend,4
44jJepjgoX,FA,nfc,NA,NfC_3,eher nicht zutreffend,4
44jJepjgoX,FA,nfc,NA,NfC_4,weder noch,3
44jJepjgoX,FA,nfc,NA,NfC_5,weder noch,3
44jJepjgoX,FA,nfc,NA,NfC_6,weder noch,3
44jJepjgoX,FA,nfc,NA,NfC_7,eher nicht zutreffend,4
44jJepjgoX,FA,nfc,NA,NfC_8,eher nicht zutreffend,4
44jJepjgoX,FA,nfc,NA,NfC_9,eher nicht zutreffend,4
4wZt5QQRoQ,DL,mancheck,NA,MC_0_1,Mittel / Weder schwierig noch leicht,3
4wZt5QQRoQ,DL,mancheck,NA,MC_0_2,Sehr schwierig,5
4wZt5QQRoQ,DL,mancheck,NA,MC_1,Nein,0
4wZt5QQRoQ,DL,memory,FB2,FB2_1,3m,1
4wZt5QQRoQ,DL,memory,FB2,FB2_2,Blumen und pollen,1
4wZt5QQRoQ,DL,memory,FB2,FB2_3,Glatt,0
4wZt5QQRoQ,DL,memory,FB2,FB2_4,Blau,1
4wZt5QQRoQ,DL,memory,FB2,FB2_5,Horn,1
4wZt5QQRoQ,DL,memory,FB2,FB2_6,Schleichend,0
4wZt5QQRoQ,DL,memory,FB2,FB2_7,Keine ahnung,0
4wZt5QQRoQ,DL,mindset,NA,GMS_1,Stimme nicht zu,2
4wZt5QQRoQ,DL,mindset,NA,GMS_2,Stimme nicht zu,2
4wZt5QQRoQ,DL,mindset,NA,GMS_3,Stimme nicht zu,2
4wZt5QQRoQ,DL,nfc,NA,NfC_1,überhaupt nicht zutreffend,1
4wZt5QQRoQ,DL,nfc,NA,NfC_10,eher zutreffend,4
4wZt5QQRoQ,DL,nfc,NA,NfC_11,sehr zutreffend,5
4wZt5QQRoQ,DL,nfc,NA,NfC_12,sehr zutreffend,1
4wZt5QQRoQ,DL,nfc,NA,NfC_13,weder noch,3
4wZt5QQRoQ,DL,nfc,NA,NfC_14,eher zutreffend,4
4wZt5QQRoQ,DL,nfc,NA,NfC_15,sehr zutreffend,5
4wZt5QQRoQ,DL,nfc,NA,NfC_16,überhaupt nicht zutreffend,5
4wZt5QQRoQ,DL,nfc,NA,NfC_17,sehr zutreffend,5
4wZt5QQRoQ,DL,nfc,NA,NfC_2,eher zutreffend,4
4wZt5QQRoQ,DL,nfc,NA,NfC_3,eher nicht zutreffend,4
4wZt5QQRoQ,DL,nfc,NA,NfC_4,überhaupt nicht zutreffend,5
4wZt5QQRoQ,DL,nfc,NA,NfC_5,überhaupt nicht zutreffend,5
4wZt5QQRoQ,DL,nfc,NA,NfC_6,eher zutreffend,4
4wZt5QQRoQ,DL,nfc,NA,NfC_7,weder noch,3
4wZt5QQRoQ,DL,nfc,NA,NfC_8,überhaupt nicht zutreffend,5
4wZt5QQRoQ,DL,nfc,NA,NfC_9,überhaupt nicht zutreffend,5
4zzi7xHIr2,FT,mancheck,NA,MC_0_1,Leicht,2
4zzi7xHIr2,FT,mancheck,NA,MC_0_2,Mittel / Weder schwierig noch leicht,3
4zzi7xHIr2,FT,mancheck,NA,MC_1,Nein,0
4zzi7xHIr2,FT,memory,FB3,FB3_1,160cm,0
4zzi7xHIr2,FT,memory,FB3,FB3_2,Ahornrinde,1
4zzi7xHIr2,FT,memory,FB3,FB3_3,glatte Haut,1
4zzi7xHIr2,FT,memory,FB3,FB3_4,NA,0
4zzi7xHIr2,FT,memory,FB3,FB3_6,Orange Stacheln,1
4zzi7xHIr2,FT,memory,FB3,FB3_7,Auf einen Haufen,1
4zzi7xHIr2,FT,memory,FB3,FB3_8,NA,0
4zzi7xHIr2,FT,mindset,NA,GMS_1,Stimme grösstenteils zu,4
4zzi7xHIr2,FT,mindset,NA,GMS_2,Stimme grösstenteils zu,4
4zzi7xHIr2,FT,mindset,NA,GMS_3,Stimme grösstenteils zu,4
4zzi7xHIr2,FT,nfc,NA,NfC_1,eher zutreffend,4
4zzi7xHIr2,FT,nfc,NA,NfC_10,eher zutreffend,4
4zzi7xHIr2,FT,nfc,NA,NfC_11,eher zutreffend,4
4zzi7xHIr2,FT,nfc,NA,NfC_12,eher zutreffend,2
4zzi7xHIr2,FT,nfc,NA,NfC_13,weder noch,3
4zzi7xHIr2,FT,nfc,NA,NfC_14,eher zutreffend,4
4zzi7xHIr2,FT,nfc,NA,NfC_15,eher zutreffend,4
4zzi7xHIr2,FT,nfc,NA,NfC_16,sehr zutreffend,1
4zzi7xHIr2,FT,nfc,NA,NfC_17,eher zutreffend,4
4zzi7xHIr2,FT,nfc,NA,NfC_2,weder noch,3
4zzi7xHIr2,FT,nfc,NA,NfC_3,eher nicht zutreffend,4
4zzi7xHIr2,FT,nfc,NA,NfC_4,eher nicht zutreffend,4
4zzi7xHIr2,FT,nfc,NA,NfC_5,überhaupt nicht zutreffend,5
4zzi7xHIr2,FT,nfc,NA,NfC_6,weder noch,3
4zzi7xHIr2,FT,nfc,NA,NfC_7,eher nicht zutreffend,4
4zzi7xHIr2,FT,nfc,NA,NfC_8,weder noch,3
4zzi7xHIr2,FT,nfc,NA,NfC_9,weder noch,3
6gT0KIdJUy,DA,mancheck,NA,MC_0_1,Mittel / Weder schwierig noch leicht,3
6gT0KIdJUy,DA,mancheck,NA,MC_0_2,Schwierig,4
6gT0KIdJUy,DA,mancheck,NA,MC_1,Nein,0
6gT0KIdJUy,DA,memory,FB1,FB1_1,1.5m,1
6gT0KIdJUy,DA,memory,FB1,FB1_2,Blattgemüse,1
6gT0KIdJUy,DA,memory,FB1,FB1_3,Schuppige Haut,1
6gT0KIdJUy,DA,memory,FB1,FB1_4,Schwarz,1
6gT0KIdJUy,DA,memory,FB1,FB1_5,Buschig und violett,1
6gT0KIdJUy,DA,memory,FB1,FB1_6,Sie zwitschern,1
6gT0KIdJUy,DA,memory,FB1,FB1_7,Umherstreunen,1
6gT0KIdJUy,DA,mindset,NA,GMS_1,Stimme zu,5
6gT0KIdJUy,DA,mindset,NA,GMS_2,Stimme grösstenteils zu,4
6gT0KIdJUy,DA,mindset,NA,GMS_3,Stimme grösstenteils nicht zu,3
6gT0KIdJUy,DA,nfc,NA,NfC_1,eher nicht zutreffend,2
6gT0KIdJUy,DA,nfc,NA,NfC_10,eher nicht zutreffend,2
6gT0KIdJUy,DA,nfc,NA,NfC_11,eher zutreffend,4
6gT0KIdJUy,DA,nfc,NA,NfC_12,überhaupt nicht zutreffend,5
6gT0KIdJUy,DA,nfc,NA,NfC_13,eher nicht zutreffend,2
6gT0KIdJUy,DA,nfc,NA,NfC_14,überhaupt nicht zutreffend,1
6gT0KIdJUy,DA,nfc,NA,NfC_15,eher nicht zutreffend,2
6gT0KIdJUy,DA,nfc,NA,NfC_16,eher nicht zutreffend,4
6gT0KIdJUy,DA,nfc,NA,NfC_17,sehr zutreffend,5
6gT0KIdJUy,DA,nfc,NA,NfC_2,eher nicht zutreffend,2
6gT0KIdJUy,DA,nfc,NA,NfC_3,eher nicht zutreffend,4
6gT0KIdJUy,DA,nfc,NA,NfC_4,eher nicht zutreffend,4
6gT0KIdJUy,DA,nfc,NA,NfC_5,eher nicht zutreffend,4
6gT0KIdJUy,DA,nfc,NA,NfC_6,eher nicht zutreffend,2
6gT0KIdJUy,DA,nfc,NA,NfC_7,eher nicht zutreffend,4
6gT0KIdJUy,DA,nfc,NA,NfC_8,eher nicht zutreffend,4
6gT0KIdJUy,DA,nfc,NA,NfC_9,weder noch,3
6zKNF3PYEC,DA,mancheck,NA,MC_0_1,Sehr schwierig,5
6zKNF3PYEC,DA,mancheck,NA,MC_0_2,Sehr schwierig,5
6zKNF3PYEC,DA,mancheck,NA,MC_1,Ja,1
6zKNF3PYEC,DA,memory,FB3,FB3_1,"1,5metrt",0
6zKNF3PYEC,DA,memory,FB3,FB3_2,pflanzen,0
6zKNF3PYEC,DA,memory,FB3,FB3_3,schuppen,0
6zKNF3PYEC,DA,memory,FB3,FB3_4,NA,0
6zKNF3PYEC,DA,memory,FB3,FB3_6,NA,0
6zKNF3PYEC,DA,memory,FB3,FB3_7,NA,0
6zKNF3PYEC,DA,memory,FB3,FB3_8,NA,0
6zKNF3PYEC,DA,mindset,NA,GMS_1,Stimme grösstenteils nicht zu,3
6zKNF3PYEC,DA,mindset,NA,GMS_2,Stimme nicht zu,2
6zKNF3PYEC,DA,mindset,NA,GMS_3,Stimme zu,5
6zKNF3PYEC,DA,nfc,NA,NfC_1,eher zutreffend,4
6zKNF3PYEC,DA,nfc,NA,NfC_10,sehr zutreffend,5
6zKNF3PYEC,DA,nfc,NA,NfC_11,sehr zutreffend,5
6zKNF3PYEC,DA,nfc,NA,NfC_12,eher nicht zutreffend,4
6zKNF3PYEC,DA,nfc,NA,NfC_13,eher zutreffend,4
6zKNF3PYEC,DA,nfc,NA,NfC_14,eher zutreffend,4
6zKNF3PYEC,DA,nfc,NA,NfC_15,eher zutreffend,4
6zKNF3PYEC,DA,nfc,NA,NfC_16,eher zutreffend,2
6zKNF3PYEC,DA,nfc,NA,NfC_17,eher zutreffend,4
6zKNF3PYEC,DA,nfc,NA,NfC_2,eher zutreffend,4
6zKNF3PYEC,DA,nfc,NA,NfC_3,eher nicht zutreffend,4
6zKNF3PYEC,DA,nfc,NA,NfC_4,eher nicht zutreffend,4
6zKNF3PYEC,DA,nfc,NA,NfC_5,eher zutreffend,2
6zKNF3PYEC,DA,nfc,NA,NfC_6,eher zutreffend,4
6zKNF3PYEC,DA,nfc,NA,NfC_7,eher nicht zutreffend,4
6zKNF3PYEC,DA,nfc,NA,NfC_8,überhaupt nicht zutreffend,5
6zKNF3PYEC,DA,nfc,NA,NfC_9,überhaupt nicht zutreffend,5
6zQfvXNyHd,DT,mancheck,NA,MC_0_1,Leicht,2
6zQfvXNyHd,DT,mancheck,NA,MC_0_2,Mittel / Weder schwierig noch leicht,3
6zQfvXNyHd,DT,mancheck,NA,MC_1,Ja,1
6zQfvXNyHd,DT,memory,FB1,FB1_1,"1,6 Meter",0
6zQfvXNyHd,DT,memory,FB1,FB1_2,Grüne Blätter,1
6zQfvXNyHd,DT,memory,FB1,FB1_3,Pelzig,0
6zQfvXNyHd,DT,memory,FB1,FB1_4,Schwarz,1
6zQfvXNyHd,DT,memory,FB1,FB1_5,Buschig violett,1
6zQfvXNyHd,DT,memory,FB1,FB1_6,Ãœber angenehme zwitscherlaute,1
6zQfvXNyHd,DT,memory,FB1,FB1_7,Alleine in der Natur rumstreifen,1
6zQfvXNyHd,DT,mindset,NA,GMS_1,Stimme grösstenteils nicht zu,3
6zQfvXNyHd,DT,mindset,NA,GMS_2,Stimme grösstenteils zu,4
6zQfvXNyHd,DT,mindset,NA,GMS_3,Stimme grösstenteils zu,4
6zQfvXNyHd,DT,nfc,NA,NfC_1,eher zutreffend,4
6zQfvXNyHd,DT,nfc,NA,NfC_10,eher zutreffend,4
6zQfvXNyHd,DT,nfc,NA,NfC_11,eher zutreffend,4
6zQfvXNyHd,DT,nfc,NA,NfC_12,weder noch,3
6zQfvXNyHd,DT,nfc,NA,NfC_13,weder noch,3
6zQfvXNyHd,DT,nfc,NA,NfC_14,weder noch,3
6zQfvXNyHd,DT,nfc,NA,NfC_15,eher zutreffend,4
6zQfvXNyHd,DT,nfc,NA,NfC_16,eher nicht zutreffend,4
6zQfvXNyHd,DT,nfc,NA,NfC_17,eher zutreffend,4
6zQfvXNyHd,DT,nfc,NA,NfC_2,eher zutreffend,4
6zQfvXNyHd,DT,nfc,NA,NfC_3,eher nicht zutreffend,4
6zQfvXNyHd,DT,nfc,NA,NfC_4,eher nicht zutreffend,4
6zQfvXNyHd,DT,nfc,NA,NfC_5,eher nicht zutreffend,4
6zQfvXNyHd,DT,nfc,NA,NfC_6,eher zutreffend,4
6zQfvXNyHd,DT,nfc,NA,NfC_7,eher nicht zutreffend,4
6zQfvXNyHd,DT,nfc,NA,NfC_8,weder noch,3
6zQfvXNyHd,DT,nfc,NA,NfC_9,weder noch,3
7I35mFNuwu,DT,mancheck,NA,MC_0_1,Leicht,2
7I35mFNuwu,DT,mancheck,NA,MC_0_2,Mittel / Weder schwierig noch leicht,3
7I35mFNuwu,DT,mancheck,NA,MC_1,Ja,1
7I35mFNuwu,DT,memory,FB2,FB2_1,3 Meter,1
7I35mFNuwu,DT,memory,FB2,FB2_2,Pollen und Blütenblätter,1
7I35mFNuwu,DT,memory,FB2,FB2_3,Schuppen,0
7I35mFNuwu,DT,memory,FB2,FB2_4,Blau,1
7I35mFNuwu,DT,memory,FB2,FB2_5,Ein Horn,1
7I35mFNuwu,DT,memory,FB2,FB2_6,â€¦,0
7I35mFNuwu,DT,memory,FB2,FB2_7,Nahrungsmittel sammeln,1
7I35mFNuwu,DT,mindset,NA,GMS_1,Stimme zu,5
7I35mFNuwu,DT,mindset,NA,GMS_2,Stimme zu,5
7I35mFNuwu,DT,mindset,NA,GMS_3,Stimme voll zu,6
7I35mFNuwu,DT,nfc,NA,NfC_1,eher zutreffend,4
7I35mFNuwu,DT,nfc,NA,NfC_10,eher zutreffend,4
7I35mFNuwu,DT,nfc,NA,NfC_11,eher zutreffend,4
7I35mFNuwu,DT,nfc,NA,NfC_12,eher nicht zutreffend,4
7I35mFNuwu,DT,nfc,NA,NfC_13,eher nicht zutreffend,2
7I35mFNuwu,DT,nfc,NA,NfC_14,eher zutreffend,4
7I35mFNuwu,DT,nfc,NA,NfC_15,eher nicht zutreffend,2
7I35mFNuwu,DT,nfc,NA,NfC_16,eher zutreffend,2
7I35mFNuwu,DT,nfc,NA,NfC_17,sehr zutreffend,5
7I35mFNuwu,DT,nfc,NA,NfC_2,sehr zutreffend,5
7I35mFNuwu,DT,nfc,NA,NfC_3,eher nicht zutreffend,4
7I35mFNuwu,DT,nfc,NA,NfC_4,weder noch,3
7I35mFNuwu,DT,nfc,NA,NfC_5,eher zutreffend,2
7I35mFNuwu,DT,nfc,NA,NfC_6,weder noch,3
7I35mFNuwu,DT,nfc,NA,NfC_7,eher nicht zutreffend,4
7I35mFNuwu,DT,nfc,NA,NfC_8,weder noch,3
7I35mFNuwu,DT,nfc,NA,NfC_9,eher zutreffend,2
9mXgh08kyP,DA,mancheck,NA,MC_0_1,Schwierig,4
9mXgh08kyP,DA,mancheck,NA,MC_0_2,Schwierig,4
9mXgh08kyP,DA,mancheck,NA,MC_1,Ja,1
9mXgh08kyP,DA,memory,FB1,FB1_1,1m,1
9mXgh08kyP,DA,memory,FB1,FB1_2,Bambus,0
9mXgh08kyP,DA,memory,FB1,FB1_3,flach,0
9mXgh08kyP,DA,memory,FB1,FB1_4,gelb,0
9mXgh08kyP,DA,memory,FB1,FB1_5,spitz,0
9mXgh08kyP,DA,memory,FB1,FB1_6,pfeiffen,1
9mXgh08kyP,DA,memory,FB1,FB1_7,jagen,0
9mXgh08kyP,DA,mindset,NA,GMS_1,Stimme grösstenteils nicht zu,3
9mXgh08kyP,DA,mindset,NA,GMS_2,Stimme grösstenteils nicht zu,3
9mXgh08kyP,DA,mindset,NA,GMS_3,Stimme grösstenteils nicht zu,3
9mXgh08kyP,DA,nfc,NA,NfC_1,weder noch,3
9mXgh08kyP,DA,nfc,NA,NfC_10,eher zutreffend,4
9mXgh08kyP,DA,nfc,NA,NfC_11,sehr zutreffend,5
9mXgh08kyP,DA,nfc,NA,NfC_12,überhaupt nicht zutreffend,5
9mXgh08kyP,DA,nfc,NA,NfC_13,eher nicht zutreffend,2
9mXgh08kyP,DA,nfc,NA,NfC_14,überhaupt nicht zutreffend,1
9mXgh08kyP,DA,nfc,NA,NfC_15,eher nicht zutreffend,2
9mXgh08kyP,DA,nfc,NA,NfC_16,weder noch,3
9mXgh08kyP,DA,nfc,NA,NfC_17,eher zutreffend,4
9mXgh08kyP,DA,nfc,NA,NfC_2,sehr zutreffend,5
9mXgh08kyP,DA,nfc,NA,NfC_3,überhaupt nicht zutreffend,5
9mXgh08kyP,DA,nfc,NA,NfC_4,überhaupt nicht zutreffend,5
9mXgh08kyP,DA,nfc,NA,NfC_5,überhaupt nicht zutreffend,5
9mXgh08kyP,DA,nfc,NA,NfC_6,sehr zutreffend,5
9mXgh08kyP,DA,nfc,NA,NfC_7,überhaupt nicht zutreffend,5
9mXgh08kyP,DA,nfc,NA,NfC_8,überhaupt nicht zutreffend,5
9mXgh08kyP,DA,nfc,NA,NfC_9,weder noch,3
B3N2q5plQz,DA,mancheck,NA,MC_0_1,Leicht,2
B3N2q5plQz,DA,mancheck,NA,MC_0_2,Schwierig,4
B3N2q5plQz,DA,mancheck,NA,MC_1,Nein,0
B3N2q5plQz,DA,memory,FB3,FB3_1,3 Meter,0
B3N2q5plQz,DA,memory,FB3,FB3_2,Blütenstaub,0
B3N2q5plQz,DA,memory,FB3,FB3_3,Schuppige,0
B3N2q5plQz,DA,memory,FB3,FB3_4,Blau,0
B3N2q5plQz,DA,memory,FB3,FB3_6,Ein gelbes Hoen,0
B3N2q5plQz,DA,memory,FB3,FB3_7,Auf einen Erdhaufen,1
B3N2q5plQz,DA,memory,FB3,FB3_8,Mit Gesang,0
B3N2q5plQz,DA,mindset,NA,GMS_1,Stimme voll zu,6
