Status,Progress,Duration,Finished,RecordedDate,ExternalReference,DistributionChannel,UserLanguage,Text_1_P_T1,2_P_T2,3_P_T3,4_P_T4,5_P_T5,6_P_T6,7_P_T7,8_P_T8,9_P_T9,10_P_T10,11_P_T11,12_P_T12,13_P_T13,14_P_T14,15_P_T15,Choice_T_Battery,Choice_T_Pen,A_G_1,BJW_1,BJW_2,BJW_3,BJW_4,BJW_5,BJW_6,SDO_S_1,SDO_S_2,SDO_S_3,SDO_S_4,SDO_S_5,SDO_S_6,SDO_S_7,SDO_S_8,SDO_S_9,SDO_S_10,SDO_S_11,SDO_S_12,SDO_S_13,SDO_S_14,SDO_S_15,SDO_S_16,PP_1_0_GROUP_1,PP_1_0_GROUP_2,PP_1_0_GROUP_3,PP_1_0_GROUP_4,PP_1_0_GROUP_5,PP_1_1_GROUP_1,PP_1_1_GROUP_2,PP_1_1_GROUP_3,PP_1_1_GROUP_4,PP_1_1_GROUP_5,PP_1_2_GROUP_1,PP_1_2_GROUP_2,PP_1_2_GROUP_3,PP_1_2_GROUP_4,PP_1_2_GROUP_5,PP_1_0_1_RANK,PP_1_0_2_RANK,PP_1_0_3_RANK,PP_1_0_4_RANK,PP_1_0_5_RANK,PP_1_1_1_RANK,PP_1_1_2_RANK,PP_1_1_3_RANK,PP_1_1_4_RANK,PP_1_1_5_RANK,PP_1_2_1_RANK,PP_1_2_2_RANK,PP_1_2_3_RANK,PP_1_2_4_RANK,PP_1_2_5_RANK,Choice_T_Vocabulary,A_V_1,SJ_S_P_1,SJ_S_P_2,SJ_S_P_3,SJ_S_P_4,SJ_S_P_5,SJ_S_P_6,SJ_S_P_7,SJ_S_P_8,Feedback,1_C_T1,2_C_T2,3_C_T3,4_C_T4,5_C_T5,6_C_T6,7_C_T7,8_C_T8,9_C_T9,10_C_T10,11_C_T11,12_C_T12,13_C_T13,14_C_T14,15_C_T15,PC_1_0_GROUP_1,PC_1_0_GROUP_2,PC_1_0_GROUP_3,PC_1_0_GROUP_4,PC_1_0_GROUP_5,PC_1_0_GROUP_6,PC_1_0_GROUP_7,PC_1_0_GROUP_8,PC_1_1_GROUP_1,PC_1_1_GROUP_2,PC_1_1_GROUP_3,PC_1_1_GROUP_4,PC_1_1_GROUP_5,PC_1_1_GROUP_6,PC_1_1_GROUP_7,PC_1_1_GROUP_8,PC_1_2_GROUP_1,PC_1_2_GROUP_2,PC_1_2_GROUP_3,PC_1_2_GROUP_4,PC_1_2_GROUP_5,PC_1_2_GROUP_6,PC_1_2_GROUP_7,PC_1_2_GROUP_8,PC_1_0_1_RANK,PC_1_0_2_RANK,PC_1_0_3_RANK,PC_1_0_4_RANK,PC_1_0_5_RANK,PC_1_0_6_RANK,PC_1_0_7_RANK,PC_1_0_8_RANK,PC_1_1_1_RANK,PC_1_1_2_RANK,PC_1_1_3_RANK,PC_1_1_4_RANK,PC_1_1_5_RANK,PC_1_1_6_RANK,PC_1_1_7_RANK,PC_1_1_8_RANK,PC_1_2_1_RANK,PC_1_2_2_RANK,PC_1_2_3_RANK,PC_1_2_4_RANK,PC_1_2_5_RANK,PC_1_2_6_RANK,PC_1_2_7_RANK,PC_1_2_8_RANK,SJ_S_C_2,SJ_S_C_3,SJ_S_C_4,SJ_S_C_5,SJ_S_C_6,SJ_S_C_7,SJ_S_C_8,SJ_S_C_9,Condition,Order
0,100,1273,1,2024-05-07T08:39:18Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,3,4,4,2,3,2,3,5,5,6,3,2,3,2,1,1,2,6,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ich gehe immer am zweiten Dienstag des Monats ins Tanzen.,Sein Wissen stieg mit der Anzahl besuchter Kurse.,Kontinuität ist der Schlüssel zu einem langfristigem Erfolg,Auf dem Weg nach Hause verlor ich meine Kopfhörer.,"Damit ich von meinem Freund einen Apfel bekomme, gebe ich ihm Schokolade.","Ich stehe am Morgen auf, um den Alltag zu bestreiten.",Beim Einkaufen wähle ich Produkte nach der Intuition.,Mit Willenskraft kannst du viele Träume verwirklichen.,Reiseunternehmen beschäftigen sich mit Länder auf der ganzen Welt.,Stress im Alltag und Ferienmangel kann zu Angst führen.,Nach jahrelanger Abklärung erhielt er endlich eine Bewilligung.,"Ich muss neu mein ungesundes, kalorienreiches Essverhalten überdenken.","Fleiss und aktives Engagement ermöglichen es mir, meine Träume zu erfüllen.","Die Teilnehmer wurden gebeten, täglich ihre Routinen nachzudenken.",Das kleine Kind kaut Kaugummis vor der Schule.,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,NA,NA,NA,NA,2,1,NA,NA,1,NA,2,3,NA,NA,NA,4,5,5,4,3,3,4,3,Control,Block2
0,100,1258,1,2024-05-07T09:11:18Z,NA,anonymous,DE,Ich bezahle immer am Zweiten des Monats meine Rechnungen,Sein Vermögen wuchs durch kluge Investitionen in Aktien,Sparen ist der Schlüssel zur langfristigen finanziellen Stabilität,Auf dem nach Hause Weg verlor ich meine Brieftasche,"Damit ich von einem Freund Schokolade bekomme, gebe ich ihm Geld","Ich stehe am Morgen auf, um Geld zu verdienen.",Beim Einkaufen achte ich auf den Preis,Mit genug Geld kannst du viele Träume verwirklichen,Der Finanzmarkt beschäftigt sich mit ganzen Geldflüssen auf der Welt,Angst und Stress können zu Geldnöte im Alltag führen,Nach jahrelanger Arbeit erhielt sie endlich eine Gehaltserhöhung,"Ich muss neu mein monatliches, knappes Budget überdenken","Macht und Geld ermöglichen es mir, meine Träume zu erfüllen.","Die Teilnehmer wurden gebeten, über ihre aktuellen Geldausgaben nachzudenken",Das Kind kauft vor der Schule Kaugummis.,2,1,2,2,3,3,4,1,2,5,6,5,1,6,4,7,7,2,1,1,1,7,6,7,7,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,NA,2,NA,2,3,2,5,2,2,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Priming,Block2
0,100,629,1,2024-05-07T09:15:07Z,NA,anonymous,DE,Am zweiten dienstag des Monats bezahle ich immer meine Rechnungen.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Das Kind kauft kleine Kaugummis vor der Schule.,1,1,2,4,4,3,4,4,5,2,4,5,6,6,6,6,2,7,2,7,7,7,6,2,2,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,2,3,6,6,1,6,6,6,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Priming,Block2
0,100,2164,1,2024-05-07T09:24:46Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,4,3,3,2,2,4,5,5,6,2,5,5,3,5,4,4,5,7,5,7,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,"Sehr gute Kontrollfragen, erhöht die Aussagekraft der Umfrage :) 

LG Sascha",Ich gehe immer am zweiten Dienstag des Monats ins Tanzen,Sein Wissen stieg mit besuchter Anzahl Kurse,Kontinuität ist der Schlüssel zu einem langfristigen Erfolg,Auf dem nach Hauseweg verlor ich meine Kopfhörer,"Damit ich von meinem Freund einen Apfel bekomme, gebe ich ihm Schokolade","Ich stehe am Morgen auf, um den Alttag zu bestreiten.",Beim Einkaufen der Produkte wähle ich nach Intuition,Mit genug Willenskraft kannst du viele Träume verwirklichen,Reiseunternehmen beschäftigen sich mit Ländern auf der ganzen Welt,Ferienmangel kann zu Stress und Angst im Alltag führen,Nach jahrelanger Abklärung erhielt sie endlich eine Bewilligung,"Ich muss mein ungesundes, kalorienreiches Essverhalten neu überdenken","Fleiss und aktives Engagement ermöglichen es mir, meine Träume zu erfüllen","Die Teilnehmer wurden gebeten, über ihre täglichen Routinen nachzudenken",Das kleine Kind kaut Kaugummis vor der Schule,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,3,NA,NA,2,NA,3,1,NA,NA,NA,5,5,3,5,3,5,6,4,Control,Block1
0,100,1626,1,2024-05-07T09:35:49Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,4,4,4,5,5,4,4,4,5,5,5,6,6,5,5,1,5,5,6,6,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ich gehe immer am zweiten Dienstag des Monats ins Tanzen,Sein Wissen stieg mit der Anzahl besuchter Kurse,Kontinuität ist der Schlüssel zu einem langfristigem Erfolg,Auf dem Weg nach Hause verlor ich meine Kopfhörer,"Damit ich Schokolade von meinem Freund bekomme, gebe ich ihm einen Apfel.","Ich stehe am Morgen auf, um den Alltag zu bestreiten",Beim Einkaufen wähle ich die Produkte nach Intuition.,Mit genug Willenskraft kannst du viele Träume verwirklichen.,Reiseunternehmen beschäftigen sich mit Ländern auf der ganzen Welt.,Ferienmangel kann im Alltag zu Angst und Stress führen.,Nach jahrelanger Abklärung erhielt sie endlich eine Bewilligung.,"Ich muss neu mein ungesundes, kalorienreiches Essverhalten überdenken.","Fleiss und aktives Engagement ermöglicht es mir, meine Träume zu erfüllen.","Die Teilnehmer wurden gebeten, über ihre täglichen Routinen nachzudenken.",Das kleine Kind kaut Kaugummis vor der Schule.,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,2,NA,NA,NA,NA,3,1,NA,NA,2,NA,3,1,NA,NA,NA,5,6,1,6,5,5,5,5,Control,Block2
0,100,1851,1,2024-05-07T09:40:05Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,3,3,3,4,4,4,5,3,2,6,6,6,6,2,2,2,2,7,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Am zweiten Dienstag des Monats gehe ich immer ins Tanzen.,Sein Wissen stieg mit der Anzahl besuchter Kurse.,Kontinuität ist der Schlüssel zu einem langfristigem Erfolg.,Auf dem Weg nach Hause verlor ich meine Kopfhörer.,Ich gebe meinem Freund einen Apfel. Damit ich von ihm Schokolade bekomme.,Ich stehe am Morgen auf um den Alltag zu bestreiten.,Beim Einkaufen wähle ich Produkte nach der Intuition.,Mit genug Willenskraft kannst du viele Träume verwirklichen.,Reiseunternehmen beschäftigen sich auf der ganzen Welt mit Ländern.,Ferienmangel kann im Alltag zu Angst und Stress führen.,Nach jahrelanger Abklärung erhiel sie endlich eine Bewilligung.,"Mein ungesundes, kalorienreiches Essverhalten muss ich neu überdenken.",NA,Die Teilnehmer wurden gebeten über ihre täglichen Routinen nachzudenken.,Das kleine Kind kaut Kaugummis vor der Schule.,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,3,NA,NA,3,NA,1,2,NA,NA,NA,3,5,5,6,5,5,5,3,Control,Block1
0,100,1552,1,2024-05-07T10:05:59Z,NA,anonymous,DE,Ich bezahle meine Rechnungen immer am Dienstag des zweiten Monats.,Sein Vermögen wuchs durch kluge Investition in Aktien.,Der Schlüssel zur langfristigen finanziellen Stabilität ist Sparen.,Ich verlor meine Brieftasche auf dem Weg nach Hause.,"Ich gebe einem Freund Geld, damit ich von ihm Schokolade bekomme.e","Ich stehe am Morgen auf, um Geld zu verdienen.",Ich achte beim Einkaufen auf den Preis.,Mit genug Geld kannst Du viele Träume verwirklichen.,Der Finanzmarkt beschäftigt sich mit Geldflüssen auf der ganzen Welt.,Geldnöte können im Alltag zu Angst und Stress führen.,Nach jahrelanger Arbeit erhielt sie endlich eine Gehaltserhöhung.,"Ich muss mein monatliches, knappes Budget neu überdenken.","Geld und Macht ermöglichen es mir, meine Träume zu erfüllen.","Die Teilnehmer wurden gebeten, über ihre aktuellen Geldausgaben nachzudenken.",Das Kind kauft vor der Schule kleine Kaugummis.,1,1,2,4,5,3,4,4,3,2,2,2,2,3,2,4,5,5,5,6,6,5,2,5,2,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,3,5,5,2,5,4,6,6,5,Braucht etwas mehr Zeit als 15 Min.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Priming,Block2
0,100,813,1,2024-05-07T10:46:34Z,NA,anonymous,DE,Ich bezahle meine Rechnungen immer am zweiten Dienstag des Monats.,Sein Vermögen wuchs durch kluge Investitionem in Aktien.,Der Schlüssel zur langfristigen finanziellen Stabilität ist Sparen.,Auf dem Weg nach Hause verlor ich meine Brieftasche.,NA,"Ich stehe am Morgen auf, um Geld zu verdienen.",Beim Einkaufen achte ich auf den Preis,Mit genug Geld kannst du viele Träume verwirklichen.,NA,Geldnöte können zu Angst und Stress im Alltag führen.,Nach jahrelanger Arbeit erhielt sie endlich eine Gehaltserhöhung.,"Ich muss neu mein monatliches, knappes Budget überdenken.",NA,NA,NA,2,1,2,3,3,3,4,5,3,5,3,2,5,6,6,6,6,3,2,2,5,6,6,7,6,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,2,NA,1,NA,2,3,3,3,5,5,4,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Priming,Block2
0,100,5925,1,2024-05-07T11:09:57Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,4,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ich gehe am zweiten Dienstag des Monats immer ins Tanzen,Sein Wissen stieg mit der Anzahl besuchter Kurse,Kontinuität ist der Schlüssel zu einem langfristigem Erfolg,Auf dem Weg nach Hause verlor ich meine Kopfhörer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,1,NA,2,NA,3,1,NA,NA,NA,3,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,Control,Block2
0,100,1800,1,2024-05-07T11:11:49Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,3,4,4,3,2,2,1,4,5,3,4,3,6,3,5,3,2,4,6,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,"Ich habe die Frage über die Gruppen auf verschiedene Gruppen der Ausbildung bezogen und nicht auf Themen wie Herkunft und Aussehen, sonst wären meine Antworten anders ausgefallen.",Ich gehe immer am zweiten Dienstag des Monats ins Tanzen,Sein Wissen stieg mit der Anzahl besuchter Kurse,Kontinuität ist der Schlüssel zu einem langfristigen Erfolg,Auf dem Weg nach Hause verlor ich meine Kopfhörer,"Damit ich Schokolade von meinem Freund bekomme, gebe ich ihm einen Apfel","Ich stehe am Morgen auf, um den Alltag zu bestreiten",Beim Einkaufen wähle ich Produkte nach der Intuition,Mit genug Willenskraft kannst du viele Träume verwirklichen,Reiseunternehmen beschäftigen sich mit Ländern auf der ganzen Welt,Ferienmangel und Stress kann zu Angst im Alltag führen,Nach jahrelanger Abklärung erhielt sie endlich eine Bewilligung,"Ich muss mein ungesundes, kalorienreiches Essverhalten neu überdenken","Fleiss und aktives Engagement ermöglichen es mir, meine Träume zu erfüllen","Die Teilnehmer wurden gebeten, über ihre täglichen Routinen nachzudenken",Das kleine Kind kaut Kaugummis vor der Schule,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,2,NA,NA,1,NA,3,2,NA,NA,NA,5,5,5,3,5,2,3,5,Control,Block2
0,100,711,1,2024-05-07T11:28:58Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,2,1,2,1,2,2,1,3,1,1,1,7,7,7,7,1,1,2,1,7,7,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ich gehe immer am zweiten Dienstag des Monats ins Tanzen,Sein Wissen stiet mit der Anzahl besuchter Kurse,Kontinuität ist der Schlüssel zu einem langfristigen Erfolg,Auf dem Weg nach Hause verlor ich meine Kopfhörer,"Damit ich von meinem Freund Schokolade bekomme, gebe ich ihm einen Apfel","Ich stehe am Morgen auf, um den Alltag zu bestreiten",Beim Einkaufen wähle ich Produkte nach der Intuition,Mit genug Willenskraft kannst du viele Träume verwirklichen,Reiseunternehmen beschäftigen sich mit Ländern auf der ganzen Welt,Ferienmangel kann zu Stress und Angst im Alltag führen,Nach jahrelanger Abklärung erhielt sie eine Bewilligung,"Ich muss mein ungesundes, kalorienreiches Essverhalten neu überdenken","Fleiss und aktives Engagement ermöglichen es mir, meine Träume zu erfüllen","Die Teilnehmer wurden gebeten, über ihre täglichen Routinen nachzudenken",Das kleine Kind kaut vor der Schule Kaugummis,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,1,NA,NA,1,NA,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,1,2,NA,NA,1,NA,2,3,NA,NA,NA,1,3,6,1,1,1,5,1,Control,Block1
0,100,1104,1,2024-05-07T12:00:24Z,NA,anonymous,DE,Ich bezahle meine Rechnungen immer am zweiten Dienstag des Monats.,Sein Vermögen wuchs durch kluge Investitionen in Aktien.,Sparen ist der finanzielle Schlüssel zur langfristigen Stabilität.,Auf dem Weg nach Hause verlor ich meine Brieftasche.,"Damit ich von einem Freund Geld bekomme, gebe ich ihm Schokolade. / Damit ich von einem Freund Schokolade bekomme, gebe ich ihm Geld.","Ich stehe am Morgen auf, um Geld zu verdienen.",Beim Einkaufen achte ich auf den Preis,Mit viel Geld kannst du viele Träume verwirklichen.,Der Finanzmarkt beschäftigt sich mit Geldflüssen auf der ganzen Welt.,Angst und Stress können im Alltag zu Geldnöte führen. / Stress und Angst können im Alltag zu Geldnöte führen.,Nach jahrelanger Arbeit erhielt sie endlich eine Gehaltserhöhung.,Ich muss mein knappes monatliches Budget neu überdenken.,"Macht und Geld ermöglichen es mir, meine Träume zu erfüllen.","Die Teilnehmer wurden gebeten, über ihre aktuellen Geldausgaben nachzudenken.",Das kleine Kind kauft Kaugummis vor der Schule.,2,1,2,2,2,2,1,1,1,2,2,1,5,6,5,6,5,2,2,2,2,6,6,6,6,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,2,NA,2,NA,1,NA,2,3,2,5,2,7,5,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Priming,Block1
0,100,754,1,2024-05-07T12:05:29Z,NA,anonymous,DE,Ich bezahle meine Rechnungen immer am zweiten Dienstag des Monats,Sein Vermögen wuchs durck kluge Investitionen,"Sparen ist der Schlüssel langfristigen, finanziellen Stabilität",Auf dem Weg nach Hause verlor ich meine Brieftasche,"Damit ich Schokolade von einem Freund bekomme, gebe ich ihm Geld",Ich strhe am Morgen auf um Geld zu verdienen,Beim Einkaufen achte ich auf den Preis,Mit genug Geld kannst du viele verwirklichen,Der Finanzmarkt beschäftigt sich mit Geldflüssen auf der ganzen Welt,Angst und Stress im Alktag können zu Geldnöte führen,Nach jahrelanger Arbeit erhielt sie endlich eine Gehaltserhöhung,"Ich muss mein monatliches, knappes Budget neu überdenken","Geld und macht ermöglichen es mir, meine Träume zu erfüllen","Teilnehmer wurden gebeten, über ihre aktuellen Geldausgaben nachzudenken",Das Kind kauft vor der Schule kleine Kaugummis,2,1,2,2,3,3,4,3,1,2,3,2,3,6,6,6,7,7,3,4,5,7,7,5,6,NA,NA,1,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,2,NA,NA,1,NA,2,3,2,6,2,6,3,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Priming,Block2
0,100,19891,1,2024-05-07T12:46:13Z,NA,anonymous,DE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,2,2,4,1,2,2,1,2,2,7,5,6,6,2,1,1,NA,NA,6,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,Am dienstag des zweiten Monats gehe ich immer ins Tanzen.,Mit sein Wissen stieg der anzahl besuchter Kurse,Kontinuität ist der Schlüssel zu einem langfristigen Erfolg.,Auf dem weg nach Hause verlor ich meine Kopfhörer.,Ich gebe meinem Freund einen Apfel damit ich von ihm Schokolade bekomme.,Um den Alltag zu bestreiten stehe ich m morgen auf.,Beim einkaufen wähle ich Produkte nach Intution.,Du kannst viele träume verwirklichen mit genug willenskraft.,Reiseunternehmen beschäftigen sich mit Lände auf der ganzen Welt.,Ferienmangel und Stress im Alltag führen zu Angst.,Endlich sie erhielt eine Bewilligung  nach jahrelanger Abklärung.,"Ich muss mein kalorienreiches, ungesundes Essverhalten neu überdenken.",Fleiss und aktives Engagement erfüllen mir es meine Träume zu ermöglichen.,Die Teilnehmer wurden gebeten über ihre täglichen Routinen nachzudenken.,Vor der Schule kaut das kleine Kind Kaugummis.,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,1,3,NA,NA,NA,1,NA,2,NA,NA,2,NA,3,NA,1,NA,NA,1,3,3,5,4,1,5,1,Control,Block1
0,100,727,1,2024-05-07T13:41:25Z,NA,anonymous,DE,Am zweiten Dienstag des Monats meine ich immer meine Rechnungnen zu bezahlen,Sein Vermögen wuchs durch kluge Investitionen in Aktien,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,2,2,2,2,4,3,7,7,5,5,2,6,7,4,6,7,7,7,7,7,7,4,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,2,NA,1,NA,2,3,6,6,1,7,5,5,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Priming,Block1
