Experiment,Task_ID,Default_condition,Framing,Answer_Option,choice,ID
E2,F2,ND,FN,Y,0,i62nbD0OlK
E2,F2,ND,FN,N,1,i62nbD0OlK
E2,F4,DNP,FP,Y,0,vl27NYlXBr
E2,F4,DNP,FP,N,1,vl27NYlXBr
E2,F4,DNP,FP,Y,0,oAqFKwR8YL
E2,F4,DNP,FP,N,1,oAqFKwR8YL
E2,F6,DP,FP,Y,1,AlqZrLn5Gf
E2,F6,DP,FP,N,0,AlqZrLn5Gf
E2,F5,ND,FP,Y,0,I8qXDoKmPg
E2,F5,ND,FP,N,1,I8qXDoKmPg
E2,F1,DP,FN,Y,0,X1xn0E87eq
E2,F1,DP,FN,N,1,X1xn0E87eq
E2,F1,DP,FN,Y,1,xSbDbN19jI
E2,F1,DP,FN,N,0,xSbDbN19jI
E2,F5,ND,FP,Y,0,PEVNa54lQW
E2,F5,ND,FP,N,1,PEVNa54lQW
E2,F4,DNP,FP,Y,0,nlesd60jtv
E2,F4,DNP,FP,N,1,nlesd60jtv
E2,F1,DP,FN,Y,0,IAJe4tIZHq
E2,F1,DP,FN,N,1,IAJe4tIZHq
E2,F6,DP,FP,Y,1,YBMQkpBYB4
E2,F6,DP,FP,N,0,YBMQkpBYB4
E2,F4,DNP,FP,Y,0,22LfLXiY6t
E2,F4,DNP,FP,N,1,22LfLXiY6t
E2,F6,DP,FP,Y,0,tHmUlZKyFs
E2,F6,DP,FP,N,1,tHmUlZKyFs
E2,F1,DP,FN,Y,0,Wgh3GDds8T
E2,F1,DP,FN,N,1,Wgh3GDds8T
E2,F3,DNP,FN,Y,0,8PK4fVvyee
E2,F3,DNP,FN,N,1,8PK4fVvyee
E2,F1,DP,FN,Y,1,qaaBGnnUgW
E2,F1,DP,FN,N,0,qaaBGnnUgW
E2,F4,DNP,FP,Y,0,x9hm1EGIc7
E2,F4,DNP,FP,N,1,x9hm1EGIc7
E2,F5,ND,FP,Y,0,wkwAXmBPLh
E2,F5,ND,FP,N,1,wkwAXmBPLh
E2,F2,ND,FN,Y,0,aORSChIVPI
E2,F2,ND,FN,N,1,aORSChIVPI
E2,F1,DP,FN,Y,0,yFZyPCtMz1
E2,F1,DP,FN,N,1,yFZyPCtMz1
E2,F5,ND,FP,Y,0,SMNn0urCDS
E2,F5,ND,FP,N,1,SMNn0urCDS
E2,F6,DP,FP,Y,1,Xj7nudKkgL
E2,F6,DP,FP,N,0,Xj7nudKkgL
E2,F5,ND,FP,Y,0,kaRbyEcKkA
E2,F5,ND,FP,N,1,kaRbyEcKkA
E2,F3,DNP,FN,Y,0,ENocXjY3MB
E2,F3,DNP,FN,N,1,ENocXjY3MB
E2,F5,ND,FP,Y,0,mQGHrgJEs0
E2,F5,ND,FP,N,1,mQGHrgJEs0
E2,F4,DNP,FP,Y,0,sZraJRGnn8
E2,F4,DNP,FP,N,1,sZraJRGnn8
E2,F2,ND,FN,Y,0,FcGktsyYoV
E2,F2,ND,FN,N,1,FcGktsyYoV
E2,F2,ND,FN,Y,1,GrzeRujSoZ
E2,F2,ND,FN,N,0,GrzeRujSoZ
E2,F2,ND,FN,Y,1,Qgrimk58Ha
E2,F2,ND,FN,N,0,Qgrimk58Ha
E2,F2,ND,FN,Y,0,31gTNGBLvx
E2,F2,ND,FN,N,1,31gTNGBLvx
E2,F2,ND,FN,Y,0,SehOHZS4Sk
E2,F2,ND,FN,N,1,SehOHZS4Sk
E2,F4,DNP,FP,Y,0,XbIGnXNcmH
E2,F4,DNP,FP,N,1,XbIGnXNcmH
E2,F5,ND,FP,Y,0,KkRyNfQzsD
E2,F5,ND,FP,N,1,KkRyNfQzsD
E2,F4,DNP,FP,Y,1,vhguddNBnh
E2,F4,DNP,FP,N,0,vhguddNBnh
E2,F1,DP,FN,Y,0,abhmd8nlXb
E2,F1,DP,FN,N,1,abhmd8nlXb
E2,F1,DP,FN,Y,0,gKCAv1jYCH
E2,F1,DP,FN,N,1,gKCAv1jYCH
E2,F5,ND,FP,Y,0,OH2BbLAAnw
E2,F5,ND,FP,N,1,OH2BbLAAnw
E2,F2,ND,FN,Y,0,FO5KTfTA0b
E2,F2,ND,FN,N,1,FO5KTfTA0b
E2,F4,DNP,FP,Y,0,QfEdKsvbiR
E2,F4,DNP,FP,N,1,QfEdKsvbiR
E2,F6,DP,FP,Y,1,CIt60Qf0SQ
E2,F6,DP,FP,N,0,CIt60Qf0SQ
E2,F2,ND,FN,Y,0,S3h5JZgWfl
E2,F2,ND,FN,N,1,S3h5JZgWfl
E2,F4,DNP,FP,Y,0,zZVOKlZqAD
E2,F4,DNP,FP,N,1,zZVOKlZqAD
E2,F3,DNP,FN,Y,1,v1KDm4dSXk
E2,F3,DNP,FN,N,0,v1KDm4dSXk
E2,F4,DNP,FP,Y,0,mpCJpaotYU
E2,F4,DNP,FP,N,1,mpCJpaotYU
E2,F1,DP,FN,Y,1,2QkBMFVqWY
E2,F1,DP,FN,N,0,2QkBMFVqWY
E2,F4,DNP,FP,Y,1,Q7qlXjGCgi
E2,F4,DNP,FP,N,0,Q7qlXjGCgi
E2,F6,DP,FP,Y,1,atFthpQo8r
E2,F6,DP,FP,N,0,atFthpQo8r
E2,F2,ND,FN,Y,1,cRitJHbicf
E2,F2,ND,FN,N,0,cRitJHbicf
E2,F6,DP,FP,Y,1,5wYgxdXMNz
E2,F6,DP,FP,N,0,5wYgxdXMNz
E2,F6,DP,FP,Y,0,pA4RY78Flx
E2,F6,DP,FP,N,1,pA4RY78Flx
E2,F4,DNP,FP,Y,0,kiVaCOHYe8
E2,F4,DNP,FP,N,1,kiVaCOHYe8
E2,F5,ND,FP,Y,0,cyqhqjb7vq
E2,F5,ND,FP,N,1,cyqhqjb7vq
E2,F4,DNP,FP,Y,0,3zfUwF0I0p
E2,F4,DNP,FP,N,1,3zfUwF0I0p
E2,F2,ND,FN,Y,1,QC7ych62aQ
E2,F2,ND,FN,N,0,QC7ych62aQ
E2,F5,ND,FP,Y,0,L02N33oedQ
E2,F5,ND,FP,N,1,L02N33oedQ
E2,F3,DNP,FN,Y,0,sDEN7LwbGp
E2,F3,DNP,FN,N,1,sDEN7LwbGp
E2,F6,DP,FP,Y,1,70hRiESE9r
E2,F6,DP,FP,N,0,70hRiESE9r
E2,F5,ND,FP,Y,0,cZOhTFUyCg
E2,F5,ND,FP,N,1,cZOhTFUyCg
E2,F5,ND,FP,Y,1,xolxFygoat
E2,F5,ND,FP,N,0,xolxFygoat
E2,F1,DP,FN,Y,1,SWTiXimSv4
E2,F1,DP,FN,N,0,SWTiXimSv4
E2,F5,ND,FP,Y,1,SJZv027Caw
E2,F5,ND,FP,N,0,SJZv027Caw
E2,F3,DNP,FN,Y,0,E9zfW71v8D
E2,F3,DNP,FN,N,0,E9zfW71v8D
E2,F5,ND,FP,Y,1,EC2iGEKHse
E2,F5,ND,FP,N,0,EC2iGEKHse
E2,F4,DNP,FP,Y,0,7dF5MvuFwy
E2,F4,DNP,FP,N,1,7dF5MvuFwy
E2,F1,DP,FN,Y,1,ES37uK1CZt
E2,F1,DP,FN,N,0,ES37uK1CZt
E2,F3,DNP,FN,Y,0,OEneX1dBlB
E2,F3,DNP,FN,N,0,OEneX1dBlB
E2,F3,DNP,FN,Y,0,3ub62RuEmJ
E2,F3,DNP,FN,N,1,3ub62RuEmJ
E2,F6,DP,FP,Y,1,6ZqeLxAUUR
E2,F6,DP,FP,N,0,6ZqeLxAUUR
E2,F3,DNP,FN,Y,0,y8e11X2mQF
E2,F3,DNP,FN,N,1,y8e11X2mQF
E2,F6,DP,FP,Y,1,jpMzFyQFCE
E2,F6,DP,FP,N,0,jpMzFyQFCE
E2,F2,ND,FN,Y,0,5OzKCGLlrz
E2,F2,ND,FN,N,1,5OzKCGLlrz
E2,F4,DNP,FP,Y,0,HMW8QUO0p0
E2,F4,DNP,FP,N,1,HMW8QUO0p0
E2,F5,ND,FP,Y,0,Ie8ORXaWm8
E2,F5,ND,FP,N,1,Ie8ORXaWm8
E2,F5,ND,FP,Y,0,zMz8ob3i4h
E2,F5,ND,FP,N,1,zMz8ob3i4h
