episode_date,show,mix_no,mix,t_s,bpm,key,artist,title,timeskew,frequencyskew,track_no
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1440,122.1,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1470,122.2,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1500,122.1,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1530,122.1,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1560,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1590,121.8,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1620,121.9,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1650,,257984782,Marc Molina,More Than Physical (Manuel Palmitesta Remix),-0.008111894,-0.0050349236,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1680,124.0,826117635,Val Xalino & Acid Pauli,Dançá Dançá T'Manchê (Acid Pauli's Fullmix),-0.052009165,-4.029274e-05,4
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1710,124.1,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1740,124.1,826117635,Val Xalino & Acid Pauli,Dançá Dançá T'Manchê (Acid Pauli's Fullmix),-0.05596304,-0.00020134449,4
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1770,124.0,826117635,Val Xalino & Acid Pauli,Dançá Dançá T'Manchê (Acid Pauli's Fullmix),-0.0561409,0.0003222227,4
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1800,124.1,826117635,Val Xalino & Acid Pauli,Dançá Dançá T'Manchê (Acid Pauli's Fullmix),-0.05574429,0.00044310093,4
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1830,124.1,826117635,Val Xalino & Acid Pauli,Dançá Dançá T'Manchê (Acid Pauli's Fullmix),-0.056016028,0.00048339367,4
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1860,124.1,826117635,Val Xalino & Acid Pauli,Dançá Dançá T'Manchê (Acid Pauli's Fullmix),-0.055642366,4.029274e-05,4
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1890,,826117635,Val Xalino & Acid Pauli,Dançá Dançá T'Manchê (Acid Pauli's Fullmix),-0.05613041,-0.00016111135,4
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1920,,826117635,Val Xalino & Acid Pauli,Dançá Dançá T'Manchê (Acid Pauli's Fullmix),-0.05596316,-0.00024163723,4
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1950,124.3,339506447,Val Xalino,Dança Dança T'Manche,-0.05484122,-0.0011270046,4
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",1980,,826117635,Val Xalino & Acid Pauli,Dançá Dançá T'Manchê (Acid Pauli's Fullmix),-0.05607915,0.00045120716,4
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2010,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2040,124.1,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2070,124.0,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2100,124.1,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2130,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2160,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2190,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2220,124.9,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2250,124.1,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2280,124.1,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2310,124.4,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2340,124.4,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2370,124.4,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2400,124.4,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2430,124.4,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2460,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2490,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2520,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2550,123.9,108862575,Max Graef,Itzehoe,0.05956161,-0.0006441474,5
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2580,120.0,108862575,Max Graef,Itzehoe,0.026257277,-4.029274e-05,5
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2610,120.1,108862575,Max Graef,Itzehoe,0.025758743,-0.00012886524,5
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2640,120.1,108862575,Max Graef,Itzehoe,0.025979638,-8.0525875e-05,5
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2670,120.0,108862575,Max Graef,Itzehoe,0.026159883,0.0,5
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2700,120.2,108862575,Max Graef,Itzehoe,0.026186705,-0.000120818615,5
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2730,,108862575,Max Graef,Itzehoe,0.026284099,0.0,5
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2760,120.0,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2790,120.0,429541353,Ohmme,Fashion,-0.04047191,-0.041284442,6
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2820,120.0,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2850,120.0,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2880,120.0,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2910,120.1,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2940,119.9,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",2970,120.1,429541353,Ohmme,Fashion,-0.039292037,-0.041405797,6
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",3000,119.9,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",3030,119.9,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",3060,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",3090,119.9,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",3120,120.0,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",3150,,,,,,,
2025-11-07,Unlimited,1,"DJ Functionist mit B.Visible, Tomasz Guiddo & Flo Førg",3180,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",0,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",30,119.9,252964906,Alex H.,Auf Wiedersehen,-0.047852278,-0.049019396,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",60,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",90,120.2,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",120,119.8,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",150,119.5,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",180,119.8,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",210,60.0,486253,Incognito,Nights Over Egypt (feat. Jocelyn Brown & Maysa) [Masters At Work Main Mix],-0.0008519888,0.00096702576,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",240,60.0,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",270,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",300,120.1,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",330,119.9,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",360,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",390,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",420,120.2,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",450,120.2,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",480,120.1,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",510,120.0,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",540,,231632875,Nansa,And the Pendulum Swings,0.00015866756,-4.029274e-05,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",570,120.1,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",600,120.0,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",630,120.0,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",660,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",690,120.0,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",720,120.0,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",750,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",780,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",810,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",840,120.0,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",870,119.8,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",900,119.8,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",930,119.8,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",960,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",990,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1020,120.8,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1050,120.6,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1080,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1110,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1140,120.7,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1170,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1200,120.6,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1230,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1260,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1290,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1320,120.5,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1350,120.7,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1380,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1410,120.6,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1440,120.6,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1470,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1500,120.6,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1530,120.3,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1560,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1590,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1620,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1650,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1680,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1710,120.9,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1740,120.4,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1770,120.4,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1800,120.6,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1830,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1860,120.5,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1890,120.4,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1920,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1950,120.4,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",1980,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",2010,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",2040,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",2070,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",2100,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",2130,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",2160,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",2190,,,,,,,
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",2220,124.8,372698913,Inner City,Good Life (Remastered) [Extended Mix],0.017231345,-0.0019312501,1
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",2250,,650904,Inner City,Good Life,0.028391957,-0.0033371449,1
2025-11-07,Unlimited,2,"DJ Functionist mit FX Farmer Funkanomics, B.Visible, Tomasz Guiddo & Flo Førg",2280,,372698915,Inner City,Good Life (Remastered) [Dub Mix],0.015154719,-0.0016900897,1
