ID,Status,Progress,Duration (in seconds),Finished,DistributionChannel,UserLanguage,job,consent,S3_kJ_Q1 ,S3_kJ_Q2,S3_kJ_Q3,S3_kJ_Q4,S3_kJ_Q5,S3_kJ_Q6,S3_kJ_Q7,S3_kcal_Q1,S3_kcal_Q2,S3_kcal_Q3,S3_kcal_Q4,S3_kcal_Q5,S3_kcal_Q6,S3_kcal_Q7,K_1,S4_ET_Q1,S4_ET_Q2,S4_ET_Q3,S4_ET_Q4,S4_ET_Q5,S4_ET_Q6,S4_ET_Q7,S4_ET_Q8,S4_ET_Q9,S4_ET_Q10,S4_EM_Q1,S4_EM_Q2,S4_EM_Q3,S4_EM_Q4,S4_EM_Q5,S4_EM_Q6,S4_EM_Q7,S4_EM_Q8,S4_EM_Q9,S4_EM_Q10,S4_AET_Q1,S4_AET_Q2,S4_AET_Q3,S4_AET_Q4,S4_AET_Q5,S4_AET_Q6,S4_AET_Q7,S4_AET_Q8,S4_AET_Q9,S4_AET_Q10,Kontrollfrage,S4_AEM_Q1,S4_AEM_Q2,S4_AEM_Q3,S4_AEM_Q4,S4_AEM_Q5,S4_AEM_Q6,S4_AEM_Q7,S4_AEM_Q8,S4_AEM_Q9,S4_AEM_Q10,K_2,Manipulation_Q1 _1,Interesse_Q1 _1,K_3,Feedback_Q1,Feedback_Q2,Feedback_Q3
o7LZ44ROKX,IP Address,100,282,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Zweifel Vaya Bean Salt Chips (1779 kJ),Isey Skyr Heidelbeere (432 kJ),Banane (446 kJ),Mandarine (222 kJ),Naturjoghurt (260 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Standardlieferung, 2 Monate, CHF 999.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Standardlieferung, 6 Monate, CHF 999.00",NA,fliegen,gar nicht,eher wichtig,2,Nein,Immer die günstigste Version da ich nicht draufzahle für schnellere Ankunft,NA
6N1fzOGm3t,IP Address,100,233,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Snickers (488 kcal),Zweifel Vaya Bean Salt Chips (424 kcal),Lotus Biscoff Pocket Karamell (900 kcal),Zweifel Paprika Chips (643 kcal),Mandarine (53 kcal),Schokopudding (120 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Standardlieferung, 2 Monate, CHF 499.00","Expresslieferung, 2 Monate früher, CHF 1279.00","Expresslieferung, 1 Monat früher, CHF 429.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",fliegen,eher wenig,teils/teils,2,Nein,Ohne lange zu überlegen.,keine
wa6GIkoMz5,IP Address,99,218,FALSE,anonymous,EN,Nein,"Ja, ich stimme zu",Mandarine (222 kJ),Trauben (289 kJ),Isey Skyr Heidelbeere (432 kJ),Banane (446 kJ),Mandarine (222 kJ),Schokopudding (502 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,"Expresslieferung, 62 Tage früher, CHF 969.00","Expresslieferung, 31 Tage früher, CHF 1389.00","Expresslieferung, 31 Tage früher, CHF 1069.00","Expresslieferung, 31 Tage früher, CHF 534.00","Expresslieferung, 62 Tage früher, CHF 1279.00","Expresslieferung, 31 Tage früher, CHF 429.00","Expresslieferung, 31 Tage früher, CHF 2019.00","Expresslieferung, 62 Tage früher, CHF 1619.00","Expresslieferung, 62 Tage früher, CHF 1089.00","Expresslieferung, 62 Tage früher, CHF 36'500.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,unwichtig,2,Nein,Intuitiv,Nein
mOlGocmqV9,IP Address,1,7,FALSE,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N9WGF3fVAV,IP Address,100,290,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Trauben (69 kcal),Isey Skyr Heidelbeere (129 kcal),Zweifel Paprika Chips (643 kcal),Kinder Bueno (560 kcal),Schokopudding (120 kcal),Zweifel Paprika Chips (515 kcal),Blau,"Standardlieferung, 124 Tage, CHF 899.00","Standardlieferung, 62 Tage, CHF 1299.00","Expresslieferung, 31 Tage früher, CHF 1069.00","Standardlieferung, 62 Tage, CHF 499.00","Standardlieferung, 124 Tage, CHF 1199.00","Expresslieferung, 31 Tage früher, CHF 429.00","Standardlieferung, 93 Tage, CHF 1899.00","Standardlieferung, 124 Tage, CHF 1499.00","Standardlieferung, 186 Tage, CHF 999.00","Standardlieferung, 186 Tage, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,eher wenig,teils/teils,2,Ja,"Durch mein Bauchgefühl, die Option, welche si ch besser anfühlte.",NA
5gf79w32hT,IP Address,100,312,TRUE,anonymous,EN,Nein,"Ja, ich stimme zu",Snickers (2042 kJ),Zweifel Vaya Bean Salt Chips (1779 kJ),Isey Skyr Heidelbeere (432 kJ),Banane (446 kJ),Mandarine (222 kJ),Schokopudding (502 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 2 Monate früher, CHF 969.00","Expresslieferung, 1 Monat früher, CHF 1389.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Expresslieferung, 1 Monat früher, CHF 429.00","Expresslieferung, 1 Monat früher, CHF 2019.00","Expresslieferung, 2 Monate früher, CHF 1619.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",fliegen,gar nicht,eher nicht wichtig,2,Nein,NA,NA
iVsn7X1CeR,IP Address,100,392,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Mandarine (222 kJ),Trauben (289 kJ),Lotus Biscoff Pocket Karamell (3780 kJ),Banane (446 kJ),Mandarine (222 kJ),Schokopudding (502 kJ),Al Natura Linsenwaffeln (1525 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Standardlieferung, 2 Monate, CHF 999.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Standardlieferung, 6 Monate, CHF 999.00","Standardlieferung, 6 Monate, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,eher nicht wichtig,2,Nein,Bauchgefühl,Nö
dJWJIt1Vky,IP Address,100,207,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Snickers (488 kcal),Trauben (69 kcal),Isey Skyr Heidelbeere (129 kcal),Banane (107 kcal),Mandarine (53 kcal),Schokopudding (120 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Expresslieferung, 1 Monat früher, CHF 429.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Standardlieferung, 6 Monate, CHF 999.00","Standardlieferung, 6 Monate, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,eher wenig,teils/teils,2,Nein,Gefühl,NA
joAuEucl2n,IP Address,100,295,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",Snickers (2042 kJ),Zweifel Vaya Bean Salt Chips (1779 kJ),Isey Skyr Heidelbeere (432 kJ),Zweifel Paprika Chips (2695 kJ),Kinder Bueno (2376 kJ),Schokopudding (502 kJ),Zweifel Paprika Chips (2147 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Standardlieferung, 2 Monate, CHF 999.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Expresslieferung, 2 Monate früher, CHF 1089.00","Standardlieferung, 6 Monate, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,eher wenig,teils/teils,2,Ja,was ich lieber hatte,NA
bG8Y47L2Ek,IP Address,100,248,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Trauben (69 kcal),Isey Skyr Heidelbeere (129 kcal),Zweifel Paprika Chips (643 kcal),Mandarine (53 kcal),Schokopudding (120 kcal),Zweifel Paprika Chips (515 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Expresslieferung, 62 Tage früher, CHF 969.00","Standardlieferung, 62 Tage, CHF 1299.00","Standardlieferung, 62 Tage, CHF 999.00","Standardlieferung, 62 Tage, CHF 499.00","Expresslieferung, 62 Tage früher, CHF 1279.00","Expresslieferung, 31 Tage früher, CHF 429.00","Expresslieferung, 31 Tage früher, CHF 2019.00","Expresslieferung, 62 Tage früher, CHF 1619.00","Expresslieferung, 62 Tage früher, CHF 1089.00","Standardlieferung, 186 Tage, CHF 35’000.00",In Tagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,eher wenig,teils/teils,2,Nein,Erster Gedanke angekreuzt,-
YUXW5HkZRE,IP Address,100,666,TRUE,anonymous,EN,Nein,"Ja, ich stimme zu",Mandarine (222 kJ),Trauben (289 kJ),Isey Skyr Heidelbeere (432 kJ),Banane (446 kJ),Mandarine (222 kJ),Naturjoghurt (260 kJ),Al Natura Linsenwaffeln (1525 kJ),NA,NA,NA,NA,NA,NA,NA,Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 4 Monate, CHF 899.00","Standardlieferung, 2 Monate, CHF 1299.00","Expresslieferung, 1 Monat früher, CHF 1069.00","Standardlieferung, 2 Monate, CHF 499.00","Standardlieferung, 4 Monate, CHF 1199.00","Standardlieferung, 2 Monate, CHF 399.00","Standardlieferung, 3 Monate, CHF 1899.00","Standardlieferung, 4 Monate, CHF 1499.00","Standardlieferung, 6 Monate, CHF 999.00","Standardlieferung, 6 Monate, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,gar nicht,unwichtig,2,Nein,Relativ schnell entschieden,Keine
5UOlMMuc0n,IP Address,100,315,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Zweifel Vaya Bean Salt Chips (424 kcal),Isey Skyr Heidelbeere (129 kcal),Zweifel Paprika Chips (643 kcal),Kinder Bueno (560 kcal),Naturjoghurt (62 kcal),Al Natura Linsenwaffeln (360 kcal),Blau,"Standardlieferung, 124 Tage, CHF 899.00","Standardlieferung, 62 Tage, CHF 1299.00","Standardlieferung, 62 Tage, CHF 999.00","Standardlieferung, 62 Tage, CHF 499.00","Standardlieferung, 124 Tage, CHF 1199.00","Standardlieferung, 62 Tage, CHF 399.00","Standardlieferung, 93 Tage, CHF 1899.00","Standardlieferung, 124 Tage, CHF 1499.00","Standardlieferung, 186 Tage, CHF 999.00","Standardlieferung, 186 Tage, CHF 35'000.00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,teils/teils,sehr wichtig,2,Ja,NA,NA
4ocdZHO7Pq,IP Address,74,19,FALSE,anonymous,EN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OzBZiO04x2,IP Address,100,369,TRUE,anonymous,EN,Ja,"Ja, ich stimme zu",NA,NA,NA,NA,NA,NA,NA,Mandarine (53 kcal),Trauben (69 kcal),Isey Skyr Heidelbeere (129 kcal),Banane (107 kcal),Mandarine (53 kcal),Schokopudding (120 kcal),Al Natura Linsenwaffeln (360 kcal),Blau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Standardlieferung, 124 Tage, CHF 899.00","Standardlieferung, 62 Tage, CHF 1299.00","Standardlieferung, 62 Tage, CHF 999.00","Standardlieferung, 62 Tage, CHF 499.00","Standardlieferung, 124 Tage, CHF 1199.00","Standardlieferung, 62 Tage, CHF 399.00","Standardlieferung, 93 Tage, CHF 1899.00","Standardlieferung, 124 Tage, CHF 1499.00","Expresslieferung, 62 Tage früher, CHF 1089.00","Expresslieferung, 62 Tage früher, CHF 36’500.00",In Tagen,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,fliegen,eher wenig,eher wichtig,2,Nein,NA,NA
