task,condition,test,number_id,value,id,target,set,label,range_min,range_max,Unique_ID,ID
Umsatzlöhne,Round,Question,1,17000,6,17000,2,16553,14897.7,18208.3,6 1 Round,8xKFSL9bih
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,8xKFSL9bih
Arztpraxen,Round,Question,1,25000,1,25000,2,25439,22895.1,27982.9,1 1 Round,8xKFSL9bih
Arztpraxen,Round,Question,2,19000,1,19000,2,19004,17103.6,20904.4,1 2 Round,8xKFSL9bih
Umsatzlöhne,Round,Test,1,23,6,23.5,2,22.7,20.43,24.97,6 1 Round,8xKFSL9bih
Arztpraxen,Round,Test,1,78,1,76,2,74.7,67.23,82.17,1 1 Round,8xKFSL9bih
Geographie,Precise,Question,1,41068,5,41285,1,41285,37156.5,45413.5,5 1 Precise,jJy2H0K0PV
Geographie,Precise,Question,2,7123,5,7105,1,7105,6394.5,7815.5,5 2 Precise,jJy2H0K0PV
Arbeitslosigkeit,Precise,Question,1,8988,3,89881,1,89881,80892.9,98869.1,3 1 Precise,jJy2H0K0PV
Arbeitslosigkeit,Precise,Question,2,2054,3,2280,1,2280,2052,2508,3 2 Precise,jJy2H0K0PV
Urteile,Precise,Question,1,10564,4,103156,1,103156,92840.4,113471.6,4 1 Precise,jJy2H0K0PV
Urteile,Precise,Question,2,2076,4,1945,1,1945,1750.5,2139.5,4 2 Precise,jJy2H0K0PV
Geographie,Precise,Test,1,13,5,17.2,1,17.2,15.48,18.92,5 1 Precise,jJy2H0K0PV
Arbeitslosigkeit,Precise,Test,1,3,3,2.5,1,2.5,2.25,2.75,3 1 Precise,jJy2H0K0PV
Urteile,Precise,Test,1,5,4,1.9,1,1.9,1.71,2.09,4 1 Precise,jJy2H0K0PV
Gotthardtunnel,Precise,Question,1,19000,2,16942,2,16942,15247.8,18636.2,2 1 Precise,CofyM5w19Z
Gotthardtunnel,Precise,Question,2,2200,2,2257,2,2257,2031.3,2482.7,2 2 Precise,CofyM5w19Z
Umsatzlöhne,Precise,Question,1,16000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,CofyM5w19Z
Umsatzlöhne,Precise,Question,2,3500,6,3750,2,3750,3375,4125,6 2 Precise,CofyM5w19Z
Arztpraxen,Precise,Question,1,25000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,CofyM5w19Z
Arztpraxen,Precise,Question,2,19000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,CofyM5w19Z
Umsatzlöhne,Precise,Test,1,35,6,22.7,2,22.7,20.43,24.97,6 1 Precise,CofyM5w19Z
Arztpraxen,Precise,Test,1,75,1,74.7,2,74.7,67.23,82.17,1 1 Precise,CofyM5w19Z
Gotthardtunnel,Precise,Question,1,17000,2,16942,2,16942,15247.8,18636.2,2 1 Precise,DKK8shZ8bM
Gotthardtunnel,Precise,Question,2,2500,2,2257,2,2257,2031.3,2482.7,2 2 Precise,DKK8shZ8bM
Umsatzlöhne,Precise,Question,1,15600,6,16553,2,16553,14897.7,18208.3,6 1 Precise,DKK8shZ8bM
Umsatzlöhne,Precise,Question,2,3750,6,3750,2,3750,3375,4125,6 2 Precise,DKK8shZ8bM
Arztpraxen,Precise,Question,1,25000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,DKK8shZ8bM
Arztpraxen,Precise,Question,2,19000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,DKK8shZ8bM
Gotthardtunnel,Precise,Test,1,15,2,13.3,2,13.3,11.97,14.63,2 1 Precise,DKK8shZ8bM
Umsatzlöhne,Precise,Test,1,25,6,22.7,2,22.7,20.43,24.97,6 1 Precise,DKK8shZ8bM
Arztpraxen,Precise,Test,1,80,1,74.7,2,74.7,67.23,82.17,1 1 Precise,DKK8shZ8bM
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,ywilqVkZya
Gotthardtunnel,Round,Question,2,2500,2,2300,2,2257,2031.3,2482.7,2 2 Round,ywilqVkZya
Umsatzlöhne,Round,Question,1,17000,6,17000,2,16553,14897.7,18208.3,6 1 Round,ywilqVkZya
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,ywilqVkZya
Arztpraxen,Round,Question,1,23000,1,25000,2,25439,22895.1,27982.9,1 1 Round,ywilqVkZya
Arztpraxen,Round,Question,2,19000,1,19000,2,19004,17103.6,20904.4,1 2 Round,ywilqVkZya
Gotthardtunnel,Round,Test,1,15,2,13.5,2,13.3,11.97,14.63,2 1 Round,ywilqVkZya
Umsatzlöhne,Round,Test,1,23,6,23.5,2,22.7,20.43,24.97,6 1 Round,ywilqVkZya
Arztpraxen,Round,Test,1,80,1,76,2,74.7,67.23,82.17,1 1 Round,ywilqVkZya
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,IfbyoMWtPZ
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,IfbyoMWtPZ
Arbeitslosigkeit,Round,Question,1,90000,3,90000,1,89881,80892.9,98869.1,3 1 Round,IfbyoMWtPZ
Arbeitslosigkeit,Round,Question,2,2500,3,2500,1,2280,2052,2508,3 2 Round,IfbyoMWtPZ
Urteile,Round,Question,1,100000,4,100000,1,103156,92840.4,113471.6,4 1 Round,IfbyoMWtPZ
Urteile,Round,Question,2,2000,4,2000,1,1945,1750.5,2139.5,4 2 Round,IfbyoMWtPZ
Geographie,Round,Test,1,17,5,17.5,1,17.2,15.48,18.92,5 1 Round,IfbyoMWtPZ
Arbeitslosigkeit,Round,Test,1,3,3,2.8,1,2.5,2.25,2.75,3 1 Round,IfbyoMWtPZ
Urteile,Round,Test,1,2,4,2,1,1.9,1.71,2.09,4 1 Round,IfbyoMWtPZ
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,OHJW3uUUxg
Gotthardtunnel,Round,Question,2,2300,2,2300,2,2257,2031.3,2482.7,2 2 Round,OHJW3uUUxg
Umsatzlöhne,Round,Question,1,8000,6,17000,2,16553,14897.7,18208.3,6 1 Round,OHJW3uUUxg
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,OHJW3uUUxg
Arztpraxen,Round,Question,1,21000,1,25000,2,25439,22895.1,27982.9,1 1 Round,OHJW3uUUxg
Arztpraxen,Round,Question,2,19000,1,19000,2,19004,17103.6,20904.4,1 2 Round,OHJW3uUUxg
Gotthardtunnel,Round,Test,1,6,2,13.5,2,13.3,11.97,14.63,2 1 Round,OHJW3uUUxg
Umsatzlöhne,Round,Test,1,33,6,23.5,2,22.7,20.43,24.97,6 1 Round,OHJW3uUUxg
Arztpraxen,Round,Test,1,60,1,76,2,74.7,67.23,82.17,1 1 Round,OHJW3uUUxg
Gotthardtunnel,Precise,Question,1,16000,2,16942,2,16942,15247.8,18636.2,2 1 Precise,kayYnbgznS
Gotthardtunnel,Precise,Question,2,2200,2,2257,2,2257,2031.3,2482.7,2 2 Precise,kayYnbgznS
Umsatzlöhne,Precise,Question,1,8000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,kayYnbgznS
Umsatzlöhne,Precise,Question,2,3750,6,3750,2,3750,3375,4125,6 2 Precise,kayYnbgznS
Arztpraxen,Precise,Question,1,25500,1,25439,2,25439,22895.1,27982.9,1 1 Precise,kayYnbgznS
Arztpraxen,Precise,Question,2,19000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,kayYnbgznS
Umsatzlöhne,Precise,Test,1,25,6,22.7,2,22.7,20.43,24.97,6 1 Precise,kayYnbgznS
Arztpraxen,Precise,Test,1,75,1,74.7,2,74.7,67.23,82.17,1 1 Precise,kayYnbgznS
Geographie,Round,Question,1,70000,5,40000,1,41285,37156.5,45413.5,5 1 Round,vs3in14Vz4
Geographie,Round,Question,2,37000,5,7000,1,7105,6394.5,7815.5,5 2 Round,vs3in14Vz4
Arbeitslosigkeit,Round,Question,1,10000,3,90000,1,89881,80892.9,98869.1,3 1 Round,vs3in14Vz4
Arbeitslosigkeit,Round,Question,2,2000,3,2500,1,2280,2052,2508,3 2 Round,vs3in14Vz4
Urteile,Round,Question,1,10000,4,100000,1,103156,92840.4,113471.6,4 1 Round,vs3in14Vz4
Urteile,Round,Question,2,2000,4,2000,1,1945,1750.5,2139.5,4 2 Round,vs3in14Vz4
Geographie,Round,Test,1,25,5,17.5,1,17.2,15.48,18.92,5 1 Round,vs3in14Vz4
Arbeitslosigkeit,Round,Test,1,1,3,2.8,1,2.5,2.25,2.75,3 1 Round,vs3in14Vz4
Urteile,Round,Test,1,20,4,2,1,1.9,1.71,2.09,4 1 Round,vs3in14Vz4
Gotthardtunnel,Precise,Question,1,16470,2,16942,2,16942,15247.8,18636.2,2 1 Precise,RC6hPcggln
Gotthardtunnel,Precise,Question,2,2200,2,2257,2,2257,2031.3,2482.7,2 2 Precise,RC6hPcggln
Umsatzlöhne,Precise,Question,1,16000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,RC6hPcggln
Umsatzlöhne,Precise,Question,2,3750,6,3750,2,3750,3375,4125,6 2 Precise,RC6hPcggln
Arztpraxen,Precise,Question,1,22000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,RC6hPcggln
Arztpraxen,Precise,Question,2,19000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,RC6hPcggln
Gotthardtunnel,Precise,Test,1,13,2,13.3,2,13.3,11.97,14.63,2 1 Precise,RC6hPcggln
Umsatzlöhne,Precise,Test,1,22,6,22.7,2,22.7,20.43,24.97,6 1 Precise,RC6hPcggln
Arztpraxen,Precise,Test,1,80,1,74.7,2,74.7,67.23,82.17,1 1 Precise,RC6hPcggln
Geographie,Precise,Question,1,40000,5,41285,1,41285,37156.5,45413.5,5 1 Precise,BvCwd7BMMV
Geographie,Precise,Question,2,700,5,7105,1,7105,6394.5,7815.5,5 2 Precise,BvCwd7BMMV
Arbeitslosigkeit,Precise,Question,1,90000,3,89881,1,89881,80892.9,98869.1,3 1 Precise,BvCwd7BMMV
Arbeitslosigkeit,Precise,Question,2,2,3,2280,1,2280,2052,2508,3 2 Precise,BvCwd7BMMV
Urteile,Precise,Question,1,100000,4,103156,1,103156,92840.4,113471.6,4 1 Precise,BvCwd7BMMV
Urteile,Precise,Question,2,2000,4,1945,1,1945,1750.5,2139.5,4 2 Precise,BvCwd7BMMV
Geographie,Precise,Test,1,20,5,17.2,1,17.2,15.48,18.92,5 1 Precise,BvCwd7BMMV
Arbeitslosigkeit,Precise,Test,1,1,3,2.5,1,2.5,2.25,2.75,3 1 Precise,BvCwd7BMMV
Urteile,Precise,Test,1,5,4,1.9,1,1.9,1.71,2.09,4 1 Precise,BvCwd7BMMV
Geographie,Precise,Question,1,41000,5,41285,1,41285,37156.5,45413.5,5 1 Precise,i4KjKb6w3w
Geographie,Precise,Question,2,12000,5,7105,1,7105,6394.5,7815.5,5 2 Precise,i4KjKb6w3w
Arbeitslosigkeit,Precise,Question,1,190000,3,89881,1,89881,80892.9,98869.1,3 1 Precise,i4KjKb6w3w
Arbeitslosigkeit,Precise,Question,2,2000,3,2280,1,2280,2052,2508,3 2 Precise,i4KjKb6w3w
Urteile,Precise,Question,1,100000,4,103156,1,103156,92840.4,113471.6,4 1 Precise,i4KjKb6w3w
Urteile,Precise,Question,2,1900,4,1945,1,1945,1750.5,2139.5,4 2 Precise,i4KjKb6w3w
Geographie,Precise,Test,1,25,5,17.2,1,17.2,15.48,18.92,5 1 Precise,i4KjKb6w3w
Arbeitslosigkeit,Precise,Test,1,3,3,2.5,1,2.5,2.25,2.75,3 1 Precise,i4KjKb6w3w
Urteile,Precise,Test,1,20,4,1.9,1,1.9,1.71,2.09,4 1 Precise,i4KjKb6w3w
Gotthardtunnel,Precise,Question,1,17000,2,16942,2,16942,15247.8,18636.2,2 1 Precise,27tW6fbTDR
Gotthardtunnel,Precise,Question,2,2500,2,2257,2,2257,2031.3,2482.7,2 2 Precise,27tW6fbTDR
Umsatzlöhne,Precise,Question,1,16000,6,16553,2,16553,14897.7,18208.3,6 1 Precise,27tW6fbTDR
Umsatzlöhne,Precise,Question,2,3500,6,3750,2,3750,3375,4125,6 2 Precise,27tW6fbTDR
Arztpraxen,Precise,Question,1,25000,1,25439,2,25439,22895.1,27982.9,1 1 Precise,27tW6fbTDR
Arztpraxen,Precise,Question,2,19000,1,19004,2,19004,17103.6,20904.4,1 2 Precise,27tW6fbTDR
Gotthardtunnel,Precise,Test,1,10,2,13.3,2,13.3,11.97,14.63,2 1 Precise,27tW6fbTDR
Umsatzlöhne,Precise,Test,1,25,6,22.7,2,22.7,20.43,24.97,6 1 Precise,27tW6fbTDR
Arztpraxen,Precise,Test,1,75,1,74.7,2,74.7,67.23,82.17,1 1 Precise,27tW6fbTDR
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,t2mi4hPGQL
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,t2mi4hPGQL
Arbeitslosigkeit,Round,Question,1,90000,3,90000,1,89881,80892.9,98869.1,3 1 Round,t2mi4hPGQL
Arbeitslosigkeit,Round,Question,2,9,3,2500,1,2280,2052,2508,3 2 Round,t2mi4hPGQL
Urteile,Round,Question,1,3000,4,100000,1,103156,92840.4,113471.6,4 1 Round,t2mi4hPGQL
Urteile,Round,Question,2,2000,4,2000,1,1945,1750.5,2139.5,4 2 Round,t2mi4hPGQL
Geographie,Round,Test,1,6,5,17.5,1,17.2,15.48,18.92,5 1 Round,t2mi4hPGQL
Arbeitslosigkeit,Round,Test,1,3,3,2.8,1,2.5,2.25,2.75,3 1 Round,t2mi4hPGQL
Urteile,Round,Test,1,30,4,2,1,1.9,1.71,2.09,4 1 Round,t2mi4hPGQL
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,P0nhFjEaAi
Gotthardtunnel,Round,Question,2,17065,2,2300,2,2257,2031.3,2482.7,2 2 Round,P0nhFjEaAi
Umsatzlöhne,Round,Question,1,16000,6,17000,2,16553,14897.7,18208.3,6 1 Round,P0nhFjEaAi
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,P0nhFjEaAi
Arztpraxen,Round,Question,1,25000,1,25000,2,25439,22895.1,27982.9,1 1 Round,P0nhFjEaAi
Arztpraxen,Round,Question,2,18000,1,19000,2,19004,17103.6,20904.4,1 2 Round,P0nhFjEaAi
Gotthardtunnel,Round,Test,1,20,2,13.5,2,13.3,11.97,14.63,2 1 Round,P0nhFjEaAi
Umsatzlöhne,Round,Test,1,25,6,23.5,2,22.7,20.43,24.97,6 1 Round,P0nhFjEaAi
Arztpraxen,Round,Test,1,25,1,76,2,74.7,67.23,82.17,1 1 Round,P0nhFjEaAi
Geographie,Precise,Question,1,42000,5,41285,1,41285,37156.5,45413.5,5 1 Precise,7DKBKalfMz
Geographie,Precise,Question,2,7000,5,7105,1,7105,6394.5,7815.5,5 2 Precise,7DKBKalfMz
Arbeitslosigkeit,Precise,Question,1,80000,3,89881,1,89881,80892.9,98869.1,3 1 Precise,7DKBKalfMz
Arbeitslosigkeit,Precise,Question,2,2000,3,2280,1,2280,2052,2508,3 2 Precise,7DKBKalfMz
Urteile,Precise,Question,1,107000,4,103156,1,103156,92840.4,113471.6,4 1 Precise,7DKBKalfMz
Urteile,Precise,Question,2,1900,4,1945,1,1945,1750.5,2139.5,4 2 Precise,7DKBKalfMz
Geographie,Precise,Test,1,18,5,17.2,1,17.2,15.48,18.92,5 1 Precise,7DKBKalfMz
Arbeitslosigkeit,Precise,Test,1,2,3,2.5,1,2.5,2.25,2.75,3 1 Precise,7DKBKalfMz
Urteile,Precise,Test,1,2,4,1.9,1,1.9,1.71,2.09,4 1 Precise,7DKBKalfMz
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,2kedEEFPi4
Gotthardtunnel,Round,Question,2,2700,2,2300,2,2257,2031.3,2482.7,2 2 Round,2kedEEFPi4
Umsatzlöhne,Round,Question,1,12000,6,17000,2,16553,14897.7,18208.3,6 1 Round,2kedEEFPi4
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,2kedEEFPi4
Arztpraxen,Round,Question,1,21000,1,25000,2,25439,22895.1,27982.9,1 1 Round,2kedEEFPi4
Arztpraxen,Round,Question,2,75,1,19000,2,19004,17103.6,20904.4,1 2 Round,2kedEEFPi4
Gotthardtunnel,Round,Test,1,20,2,13.5,2,13.3,11.97,14.63,2 1 Round,2kedEEFPi4
Umsatzlöhne,Round,Test,1,22,6,23.5,2,22.7,20.43,24.97,6 1 Round,2kedEEFPi4
Arztpraxen,Round,Test,1,75,1,76,2,74.7,67.23,82.17,1 1 Round,2kedEEFPi4
Gotthardtunnel,Precise,Question,1,16942,2,16942,2,16942,15247.8,18636.2,2 1 Precise,C6FkX4Dmtk
Gotthardtunnel,Precise,Question,2,2752,2,2257,2,2257,2031.3,2482.7,2 2 Precise,C6FkX4Dmtk
Umsatzlöhne,Precise,Question,1,12800,6,16553,2,16553,14897.7,18208.3,6 1 Precise,C6FkX4Dmtk
Umsatzlöhne,Precise,Question,2,3750,6,3750,2,3750,3375,4125,6 2 Precise,C6FkX4Dmtk
Arztpraxen,Precise,Question,1,25092,1,25439,2,25439,22895.1,27982.9,1 1 Precise,C6FkX4Dmtk
Arztpraxen,Precise,Question,2,19002,1,19004,2,19004,17103.6,20904.4,1 2 Precise,C6FkX4Dmtk
Gotthardtunnel,Precise,Test,1,12,2,13.3,2,13.3,11.97,14.63,2 1 Precise,C6FkX4Dmtk
Umsatzlöhne,Precise,Test,1,29,6,22.7,2,22.7,20.43,24.97,6 1 Precise,C6FkX4Dmtk
Arztpraxen,Precise,Test,1,25,1,74.7,2,74.7,67.23,82.17,1 1 Precise,C6FkX4Dmtk
Geographie,Round,Question,1,40000,5,40000,1,41285,37156.5,45413.5,5 1 Round,yn5j79aWvb
Geographie,Round,Question,2,7000,5,7000,1,7105,6394.5,7815.5,5 2 Round,yn5j79aWvb
Arbeitslosigkeit,Round,Question,1,100000,3,90000,1,89881,80892.9,98869.1,3 1 Round,yn5j79aWvb
Arbeitslosigkeit,Round,Question,2,3000,3,2500,1,2280,2052,2508,3 2 Round,yn5j79aWvb
Urteile,Round,Question,1,100000,4,100000,1,103156,92840.4,113471.6,4 1 Round,yn5j79aWvb
Urteile,Round,Question,2,2000,4,2000,1,1945,1750.5,2139.5,4 2 Round,yn5j79aWvb
Geographie,Round,Test,1,15,5,17.5,1,17.2,15.48,18.92,5 1 Round,yn5j79aWvb
Arbeitslosigkeit,Round,Test,1,3,3,2.8,1,2.5,2.25,2.75,3 1 Round,yn5j79aWvb
Urteile,Round,Test,1,5,4,2,1,1.9,1.71,2.09,4 1 Round,yn5j79aWvb
Geographie,Precise,Question,1,41200,5,41285,1,41285,37156.5,45413.5,5 1 Precise,hTwLFXgupu
Geographie,Precise,Question,2,7000,5,7105,1,7105,6394.5,7815.5,5 2 Precise,hTwLFXgupu
Arbeitslosigkeit,Precise,Question,1,100000,3,89881,1,89881,80892.9,98869.1,3 1 Precise,hTwLFXgupu
Arbeitslosigkeit,Precise,Question,2,1000,3,2280,1,2280,2052,2508,3 2 Precise,hTwLFXgupu
Urteile,Precise,Question,1,0,4,103156,1,103156,92840.4,113471.6,4 1 Precise,hTwLFXgupu
Urteile,Precise,Question,2,1000,4,1945,1,1945,1750.5,2139.5,4 2 Precise,hTwLFXgupu
Geographie,Precise,Test,1,25,5,17.2,1,17.2,15.48,18.92,5 1 Precise,hTwLFXgupu
Arbeitslosigkeit,Precise,Test,1,5,3,2.5,1,2.5,2.25,2.75,3 1 Precise,hTwLFXgupu
Urteile,Precise,Test,1,0,4,1.9,1,1.9,1.71,2.09,4 1 Precise,hTwLFXgupu
Gotthardtunnel,Round,Question,1,17000,2,17000,2,16942,15247.8,18636.2,2 1 Round,omrSwoq4y3
Gotthardtunnel,Round,Question,2,2300,2,2300,2,2257,2031.3,2482.7,2 2 Round,omrSwoq4y3
Umsatzlöhne,Round,Question,1,17000,6,17000,2,16553,14897.7,18208.3,6 1 Round,omrSwoq4y3
Umsatzlöhne,Round,Question,2,4000,6,4000,2,3750,3375,4125,6 2 Round,omrSwoq4y3
Arztpraxen,Round,Question,1,26000,1,25000,2,25439,22895.1,27982.9,1 1 Round,omrSwoq4y3
Arztpraxen,Round,Question,2,18900,1,19000,2,19004,17103.6,20904.4,1 2 Round,omrSwoq4y3
Gotthardtunnel,Round,Test,1,36,2,13.5,2,13.3,11.97,14.63,2 1 Round,omrSwoq4y3
Umsatzlöhne,Round,Test,1,27,6,23.5,2,22.7,20.43,24.97,6 1 Round,omrSwoq4y3
Arztpraxen,Round,Test,1,91,1,76,2,74.7,67.23,82.17,1 1 Round,omrSwoq4y3
Gotthardtunnel,Precise,Question,1,16985,2,16942,2,16942,15247.8,18636.2,2 1 Precise,OGtaEC5W2j
Gotthardtunnel,Precise,Question,2,2120,2,2257,2,2257,2031.3,2482.7,2 2 Precise,OGtaEC5W2j
Umsatzlöhne,Precise,Question,1,16750,6,16553,2,16553,14897.7,18208.3,6 1 Precise,OGtaEC5W2j
Umsatzlöhne,Precise,Question,2,3750,6,3750,2,3750,3375,4125,6 2 Precise,OGtaEC5W2j
